SwiftName,name,ra,dec,time,obsid,status,exposure_a,observation_mode,public_date,issue_flag,end_time,_Search_Offset
SWIFTJ2042.3+7507,4C74d26                    ,20 42 13.8,+75 07 47,2014-09-21 15:21:07,60001080002,archived ,     19062,SCIENCE         , 2015-09-17,         0,2014-09-22 01:51:07,"   1.534 (310.655434,75.1340134)"
SWIFTJ2042.3+7507,4C74d26                    ,20 41 59.8,+75 07 31,2014-09-21 14:51:07,60001080001,archived ,       456,SCIENCE         , 2015-09-17,         0,2014-09-21 15:21:07,"   2.463 (310.655434,75.1340134)"
SWIFTJ2042.3+7507,4C74d26                    ,20 42 48.6,+75 06 00,2014-12-22 06:01:07,60001080007,archived ,       440,SCIENCE         , 2015-09-17,         0,2014-12-22 06:16:07,"   2.165 (310.655434,75.1340134)"
SWIFTJ2042.3+7507,4C74d26                    ,20 42 31.4,+75 07 00,2014-10-30 22:36:07,60001080005,archived ,         0,SCIENCE         , 2015-09-17,         0,2014-10-30 23:06:07,"   1.111 (310.655434,75.1340134)"
SWIFTJ2044.0+2832,RXJ2044d0p2833             ,20 44 16.2,+28 33 40,2024-03-23 11:31:09,60160745002,archived ,     22765,SCIENCE         , 2024-04-01,         1,2024-03-24 00:01:09,"   2.670 (311.017734,28.5526308)"
SWIFTJ2044.0+2832,RXJ2044d0p2833             ,20 44 16.9,+28 34 02,2024-03-23 11:01:09,60160745001,archived ,       439,SCIENCE         , 2024-04-01,         0,2024-03-23 11:31:09,"   2.905 (311.017734,28.5526308)"
SWIFTJ2044.2-1045,Mrk_509                    ,20 44 13.1,-10 42 13,2015-04-29 14:26:07,60101043002,archived ,    165885,SCIENCE         , 2016-07-24,         0,2015-05-03 07:26:07,"   1.451 (311.040636,-10.723539)"
SWIFTJ2044.2-1045,Mrk_509                    ,20 44 12.6,-10 41 20,2015-06-02 10:11:07,60101043004,archived ,     36474,SCIENCE         , 2016-07-24,         0,2015-06-03 07:01:07,"   2.183 (311.040636,-10.723539)"
SWIFTJ2044.2-1045,Mrk_509                    ,20 44 14.4,-10 41 57,2015-04-29 13:56:07,60101043001,archived ,       266,SCIENCE         , 2016-07-24,         0,2015-04-29 14:26:07,"   1.845 (311.040636,-10.723539)"
SWIFTJ2052.0-5704,IC5063                     ,20 52 15.9,-57 03 39,2013-07-08 07:51:07,60061302002,archived ,     18447,SCIENCE         , 2015-03-31,         1,2013-07-08 16:51:07,"   1.905 (313.009818,-57.068756)"
SWIFTJ2056.0-4713,PKS2052m47                 ,20 56 21.8,-47 12 17,2020-04-16 12:06:09,60160748002,archived ,     33054,SCIENCE         , 2020-04-27,         0,2020-04-17 05:31:09,"   2.670 (314.068185,-47.246567)"
SWIFTJ2059.6+4301B,IGR_J20596p4303            ,20 59 12.1,+43 03 20,2022-07-02 19:51:09,30801004002,archived ,     38701,SCIENCE         , 2023-07-18,         0,2022-07-03 16:01:09,"    9.008 (315.004153,43.036367)"
SWIFTJ2102.6-2810,ESO464_G016                ,21 02 27.9,-28 08 47,2016-04-13 19:51:08,60101013002,archived ,     22117,SCIENCE         , 2017-05-10,         0,2016-04-14 07:11:08,"   1.917 (315.599127,-28.174635)"
SWIFTJ2109.1-0942,2MASXJ21090996m0940147     ,21 09 10.0,-09 40 14,                   ,60160749,accepted ,    -20000,                ,           ,          ,                   ,"   0.011 (317.291561,-9.6707718)"
SWIFTJ2109.2+3531,B22107p35A                 ,21 09 48.5,+35 33 39,2024-03-26 05:16:09,60160750002,archived ,     20775,SCIENCE         , 2024-04-01,         1,2024-03-26 16:56:09,"   3.447 (317.382809,35.5493408)"
SWIFTJ2109.2+3531,B22107p35A                 ,21 09 51.8,+35 33 40,2024-03-26 04:51:09,60160750001,archived ,       277,SCIENCE         , 2024-04-01,         0,2024-03-26 05:16:09,"   4.122 (317.382809,35.5493408)"
SWIFTJ2114.4+8206,S52116p81                  ,21 13 27.3,+82 06 13,2017-08-05 00:56:09,60061303002,archived ,     18542,SCIENCE         , 2017-08-24,         0,2017-08-05 09:41:09,"   1.833 (318.504777,82.0800919)"
SWIFTJ2116.3+2512,2MASXJ21161028p2517010     ,21 16 10.3,+25 17 01,                   ,60160752,accepted ,    -20000,                ,           ,          ,                   ,"   0.009 (319.042957,25.2836558)"
SWIFTJ2117.5+5139,2MASXJ21174741p5138523     ,21 17 48.8,+51 41 11,2024-06-11 07:46:09,60161753002,processed,     20810,SCIENCE         , 2024-06-17,         0,2024-06-11 18:36:09,"   2.239 (319.448755,51.6491052)"
SWIFTJ2118.9+3336,2MASXJ21192912p3332566     ,21 19 33.0,+33 31 02,2015-01-17 16:21:07,60061358002,archived ,     21483,SCIENCE         , 2015-09-17,         0,2015-01-18 03:31:07,"   2.088 (319.871366,33.5491696)"
SWIFTJ2123.6+2506,3C433                      ,21 23 51.8,+25 05 39,2024-04-20 01:16:09,60160755002,archived ,     17806,SCIENCE         , 2024-04-29,         0,2024-04-20 10:36:09,"   2.026 (320.935787,25.0743855)"
SWIFTJ2124.6+5057,IGR_J21247p5058            ,21 24 39.2,+50 56 01,2018-01-02 18:56:09,60301005002,archived ,     40338,SCIENCE         , 2019-01-06,         0,2018-01-03 15:36:09,"   2.415 (321.163983,50.9738487)"
SWIFTJ2124.6+5057,IGRJ21247p5058             ,21 24 40.4,+50 56 56,2014-12-13 17:31:07,60061305002,archived ,     24281,SCIENCE         , 2015-09-17,         0,2014-12-14 07:01:07,"   1.506 (321.163983,50.9738487)"
SWIFTJ2127.4+5654,SwiftJ2127d4p5654          ,21 27 41.6,+56 55 32,2012-11-06 17:56:07,60001110005,archived ,     74578,SCIENCE         , 2014-02-06,         1,2012-11-08 07:06:07,"   1.165 (321.939155,56.9430461)"
SWIFTJ2127.4+5654,SWIFT_J2127d4p5654         ,21 27 49.8,+56 54 44,2018-12-30 07:51:09,60402008010,archived ,     74246,SCIENCE         , 2020-01-11,         0,2018-12-31 21:01:09,"   1.946 (321.939155,56.9430461)"
SWIFTJ2127.4+5654,SWIFT_J2127d4p5654         ,21 27 32.4,+56 55 54,2018-09-14 16:41:09,60402008008,archived ,     72875,SCIENCE         , 2020-01-11,         0,2018-09-16 06:51:09,"   1.895 (321.939155,56.9430461)"
SWIFTJ2127.4+5654,SWIFT_J2127d4p5654         ,21 27 33.0,+56 57 50,2018-07-30 20:31:09,60402008006,archived ,     72130,SCIENCE         , 2020-01-11,         0,2018-08-01 12:11:09,"   2.098 (321.939155,56.9430461)"
SWIFTJ2127.4+5654,SWIFT_J2127d4p5654         ,21 27 37.6,+56 58 13,2018-07-16 07:01:09,60402008004,archived ,     71568,SCIENCE         , 2020-01-11,         0,2018-07-17 19:46:09,"   1.953 (321.939155,56.9430461)"
SWIFTJ2127.4+5654,SWIFT_J2127d4p5654         ,21 27 41.0,+56 57 38,2018-07-05 16:26:09,60402008002,archived ,     71255,SCIENCE         , 2020-01-11,         1,2018-07-07 08:06:09,"   1.214 (321.939155,56.9430461)"
SWIFTJ2127.4+5654,SwiftJ2127d4p5654          ,21 27 32.8,+56 53 21,2012-11-04 17:21:07,60001110002,archived ,     49200,SCIENCE         , 2014-02-06,         0,2012-11-05 18:06:07,"   3.657 (321.939155,56.9430461)"
SWIFTJ2127.4+5654,SwiftJ2127d4p5654          ,21 27 45.9,+56 55 46,2012-11-08 16:51:07,60001110007,archived ,     42106,SCIENCE         , 2014-02-06,         0,2012-11-09 13:41:07,"   0.821 (321.939155,56.9430461)"
SWIFTJ2127.4+5654,SwiftJ2127d4p5654          ,21 27 39.0,+56 55 17,2012-11-05 18:06:07,60001110003,archived ,     28764,SCIENCE         , 2014-02-06,         0,2012-11-06 08:01:07,"   1.565 (321.939155,56.9430461)"
SWIFTJ2129.1-1538,PKS_2126m15                ,21 29 12.2,-15 40 39,2018-09-25 02:21:09,60401029002,archived ,     33318,SCIENCE         , 2019-10-05,         0,2018-09-25 21:01:09,"   1.964 (322.300761,-15.644765)"
SWIFTJ2132.0-3343,6dFJ2132022m334254         ,21 32 07.7,-33 40 01,2022-04-08 21:06:09,60160759002,archived ,     22264,SCIENCE         , 2022-04-18,         0,2022-04-09 08:16:09,"    3.098 (323.00919,-33.714948)"
SWIFTJ2134.9-2729,1RXSJ213445d2m272551       ,21 34 46.7,-27 24 29,2017-04-16 19:26:09,60363005002,archived ,     21064,SCIENCE         , 2017-04-26,         0,2017-04-17 07:06:09,"   1.479 (323.688071,-27.432078)"
SWIFTJ2134.9-2729,1RXSJ213445d2m272551       ,21 34 43.7,-27 26 48,2013-10-22 06:16:07,60061306002,archived ,     19810,SCIENCE         , 2015-03-31,         0,2013-10-22 16:31:07,"   0.937 (323.688071,-27.432078)"
SWIFTJ2156.1+4728,2MASXJ21355399p4728217     ,21 35 40.7,+47 27 56,2019-09-11 00:21:09,60160761002,archived ,     18704,SCIENCE         , 2019-09-16,         0,2019-09-11 11:11:09,"   2.288 (323.975108,47.4727509)"
SWIFTJ2135.5-6222,1RXSJ213623d1m622400       ,21 36 23.1,-62 24 00,                   ,60160762,accepted ,    -20000,                ,           ,          ,                   ,"   0.004 (324.096269,-62.400159)"
SWIFTJ2136.8-6444,IRASF21329m6451            ,21 36 52.7,-64 38 03,                   ,60160763,accepted ,    -20000,                ,           ,          ,                   ,"   0.017 (324.219637,-64.634381)"
SWIFTJ2137.8-1433,PKS2135m14                 ,21 37 45.2,-14 32 55,                   ,60160764,accepted ,    -20000,                ,           ,          ,                   ,"   0.007 (324.438318,-14.548818)"
SWIFTJ2138.8-3207,CGCG493m002                ,21 38 33.4,+32 05 06,                   ,60160765,accepted ,    -20000,                ,           ,          ,                   ,"   0.016 (324.639303,32.0849447)"
SWIFTJ2139.7+5951,1RXSJ213944d3p595016       ,21 40 07.6,+59 50 10,2024-03-29 11:51:09,60160766002,archived ,     23313,SCIENCE         , 2024-04-15,         0,2024-03-29 23:16:09,"   2.843 (324.937337,59.8375222)"
SWIFTJ2139.7+5951,1RXSJ213944d3p595016       ,21 40 15.1,+59 49 15,2024-03-29 11:21:09,60160766001,archived ,       556,SCIENCE         , 2024-04-15,         0,2024-03-29 11:51:09,"   3.913 (324.937337,59.8375222)"
SWIFTJ2145.5+1101,RXJ2145d5p1102             ,21 45 30.4,+11 01 50,2015-12-22 23:01:08,60160767002,archived ,     21351,SCIENCE         , 2015-12-30,         1,2015-12-23 10:01:08,"   1.236 (326.386735,11.0486316)"
SWIFTJ2148.0+0657,PKS2145p06                 ,21 48 02.5,+06 56 22,2017-11-17 05:01:09,60160768002,archived ,     21347,SCIENCE         , 2017-12-01,         0,2017-11-17 15:46:09,"    1.473 (327.022753,6.9607346)"
SWIFTJ2148.3-3454,NGC7130                    ,21 48 13.4,-34 58 13,2016-12-15 16:41:08,60261006002,archived ,     42121,SCIENCE         , 2016-12-23,         0,2016-12-16 15:11:08,"   1.692 (327.081366,-34.951248)"
SWIFTJ2148.3-3454,NGC7130                    ,21 48 25.8,-34 57 50,2014-08-17 23:31:07,60061347002,archived ,     21187,SCIENCE         , 2015-09-17,         0,2014-08-18 10:31:07,"   1.493 (327.081366,-34.951248)"
SWIFTJ2150.2-1855,6dFJ2149581m185924         ,21 49 58.1,-18 59 23,                   ,60160770,accepted ,    -20000,                ,           ,          ,                   ,"    0.009 (327.49196,-18.989947)"
SWIFTJ2152.0-3030,PKS2149m306                ,21 52 02.1,-30 26 37,2014-04-18 15:06:07,60001099004,archived ,     44166,SCIENCE         , 2014-09-23,         0,2014-04-19 16:51:07,"   1.898 (327.981347,-30.464872)"
SWIFTJ2152.0-3030,PKS2149m306                ,21 51 51.5,-30 28 34,2013-12-17 05:01:07,60001099002,archived ,     38505,SCIENCE         , 2014-09-23,         0,2013-12-18 01:11:07,"   1.093 (327.981347,-30.464872)"
SWIFTJ2156.2+1724,2MASXJ21561518p1722525     ,21 56 20.0,+17 25 31,2019-05-12 05:06:09,60161772002,archived ,     22245,SCIENCE         , 2019-05-27,         0,2019-05-12 17:26:09,"   2.875 (329.063469,17.3812736)"
SWIFTJ2157.2-6942,2MASXJ21570595m6941236     ,21 57 06.0,-69 41 23,                   ,60061307,accepted ,    -20000,                ,           ,          ,                   ,"   0.006 (329.274942,-69.689906)"
SWIFTJ2157.4-0615,EUVEJ2157m06d1             ,21 57 27.1,-06 10 22,                   ,60464194,accepted ,    -20000,                ,           ,          ,                   ,"   0.103 (329.361597,-6.1715626)"
SWIFTJ2200.9+1032,Mrk520                     ,22 00 45.3,+10 34 39,2017-05-10 02:31:09,60160774002,archived ,     20902,SCIENCE         , 2017-05-19,         0,2017-05-10 13:41:09,"   1.801 (330.172292,10.5522395)"
SWIFTJ2201.9+5057,87GB215950d2p503417        ,22 01 43.5,+50 48 57,                   ,60160775,accepted ,    -20000,                ,           ,          ,                   ,"      0.000 (330.431401,50.8157)"
SWIFTJ2201.9-3152,NGC7172                    ,22 01 58.8,-31 54 03,2014-10-07 13:36:07,60061308002,archived ,     32001,SCIENCE         , 2015-09-17,         0,2014-10-08 06:16:07,"   1.987 (330.507894,-31.869591)"
SWIFTJ2202.8+4218,BL_Lac                     ,22 02 31.4,+42 16 13,2019-09-14 05:36:09,60501024002,archived ,    212202,SCIENCE         , 2020-10-01,         0,2019-09-19 06:01:09,"   2.243 (330.680388,42.2777548)"
SWIFTJ2202.8+4218,BL_Lac                     ,22 02 27.6,+42 15 08,2020-10-11 14:06:09,90601630002,archived ,     30725,SCIENCE         , 2020-10-19,         0,2020-10-12 07:16:09,"   3.277 (330.680388,42.2777548)"
SWIFTJ2202.8+4218,BL_Lac                     ,22 03 00.5,+42 18 51,2022-05-06 08:51:09,60701036002,archived ,     22641,SCIENCE         , 2023-05-16,         0,2022-05-06 20:31:09,"   3.865 (330.680388,42.2777548)"
SWIFTJ2202.8+4218,BL_Lac                     ,22 02 44.3,+42 14 34,2012-12-11 14:36:07,60001001002,archived ,     21891,SCIENCE         , 2013-11-25,         0,2012-12-12 02:31:07,"   2.112 (330.680388,42.2777548)"
SWIFTJ2202.8+4218,BL_Lac                     ,22 02 33.4,+42 14 35,2023-11-13 16:11:09,80901639002,archived ,     20860,SCIENCE         , 2024-05-20,         0,2023-11-14 02:51:09,"   2.780 (330.680388,42.2777548)"
SWIFTJ2202.8+4218,BL_Lac                     ,22 02 35.4,+42 14 33,2022-11-28 20:51:09,90801633002,archived ,     20842,SCIENCE         , 2022-12-05,         0,2022-11-29 07:26:09,"   2.570 (330.680388,42.2777548)"
SWIFTJ2202.8+4218,BL_Lac                     ,22 02 31.1,+42 19 03,2021-08-16 02:06:09,90701628002,archived ,     20189,SCIENCE         , 2021-08-23,         0,2021-08-16 15:16:09,"   3.274 (330.680388,42.2777548)"
SWIFTJ2202.8+4218,BL_Lac                     ,22 02 47.9,+42 14 43,2012-12-11 13:54:07,60001001001,archived ,       385,SCIENCE         , 2013-11-25,         0,2012-12-11 14:36:07,"   2.124 (330.680388,42.2777548)"
SWIFTJ2203.0+3146,4Cp31d63                   ,22 03 14.9,+31 45 40,                   ,60160778,accepted ,    -20000,                ,           ,          ,                   ,"   0.030 (330.812421,31.7606397)"
SWIFTJ2204.7+0337,2MASXJ22041914p0333511     ,22 04 19.2,+03 33 50,                   ,60061309,accepted ,    -20000,                ,           ,          ,                   ,"    0.019 (331.079853,3.5642181)"
SWIFTJ2207.3+1013,NGC7212                    ,22 06 53.0,+10 13 49,2013-09-01 13:16:07,60061310002,archived ,     24585,SCIENCE         , 2015-03-31,         1,2013-09-02 03:21:07,"    2.224 (331.75831,10.2336449)"
SWIFTJ2209.1-2747,NGC7214                    ,22 09 07.7,-27 48 34,                   ,60160781,accepted ,    -20000,                ,           ,          ,                   ,"   0.005 (332.281946,-27.809469)"
