SwiftName,name,ra,dec,time,obsid,status,exposure_a,observation_mode,public_date,issue_flag,end_time,_Search_Offset
SWIFTJ0001.0-0708,2MASXJ00004876m0709117     ,00 00 51.6,-07 10 04,2020-02-21 23:16:09,60161001004,archived ,       343,SCIENCE         , 2020-03-28,         1,2020-02-22 01:56:09,"    1.112 (0.2032337,-7.1532227)"
SWIFTJ0001.0-0708,2MASXJ00004876m0709117     ,00 00 50.6,-07 11 14,2020-02-21 02:31:09,60161001001,archived ,        38,SCIENCE         , 2020-03-28,         0,2020-02-21 03:16:09,"    2.085 (0.2032337,-7.1532227)"
SWIFTJ0001.6-7701,Fairall1203                ,00 01 35.4,-76 55 49,2015-04-11 13:11:07,60160002002,archived ,     34128,SCIENCE         , 2015-04-13,         0,2015-04-12 00:01:07,"    1.537 (0.4420348,-76.953963)"
SWIFTJ0001.6-7701,Fairall1203                ,00 01 34.7,-76 56 37,2015-04-11 12:46:07,60160002001,archived ,        93,SCIENCE         , 2015-04-13,         0,2015-04-11 13:11:07,"    0.894 (0.4420348,-76.953963)"
SWIFTJ0002.5+0323,NGC7811                    ,00 02 20.5,+03 18 29,2022-12-13 10:01:09,60160003002,archived ,     23114,SCIENCE         , 2022-12-19,         0,2022-12-13 23:06:09,"      3.017 (0.610105,3.3519118)"
SWIFTJ0003.3+2737,2MASXJ00032742p2739173     ,00 03 27.4,+27 39 17,                   ,60161004,accepted ,    -20000,                ,           ,          ,                   ,"    0.005 (0.8642482,27.6547253)"
SWIFTJ0005.0+7021,2MASXJ00040192p7019185     ,00 03 50.1,+70 17 16,2018-12-11 10:01:09,60061001002,archived ,     29784,SCIENCE         , 2019-01-11,         0,2018-12-11 23:46:09,"    2.270 (1.0082414,70.3217522)"
SWIFTJ0006.2+2012,Mkn335                     ,00 06 25.7,+20 13 31,2013-06-25 08:06:07,60001041005,archived ,     93022,SCIENCE         , 2014-02-06,         0,2013-06-27 13:21:07,"    1.969 (1.5814004,20.2029512)"
SWIFTJ0006.2+2012,Mkn_335                    ,00 06 20.7,+20 14 37,2018-07-10 17:31:09,80201001002,archived ,     82257,SCIENCE         , 2019-10-21,         0,2018-07-12 16:01:09,"    2.461 (1.5814004,20.2029512)"
SWIFTJ0006.2+2012,Mkn335                     ,00 06 13.8,+20 12 59,2014-09-20 00:31:07,80001020002,archived ,     68905,SCIENCE         , 2015-03-25,         0,2014-09-21 14:51:07,"    1.561 (1.5814004,20.2029512)"
SWIFTJ0006.2+2012,Mrk_335                    ,00 06 24.9,+20 14 52,2021-06-14 03:51:09,60502006002,archived ,     51417,SCIENCE         , 2022-07-09,         0,2021-06-15 08:51:09,"    2.966 (1.5814004,20.2029512)"
SWIFTJ0006.2+2012,Mrk_335                    ,00 06 26.7,+20 14 32,2021-06-20 06:21:09,60502006008,archived ,     49408,SCIENCE         , 2022-07-09,         0,2021-06-21 13:16:09,"    2.890 (1.5814004,20.2029512)"
SWIFTJ0006.2+2012,Mrk_335                    ,00 06 24.2,+20 14 29,2021-06-16 05:46:09,60502006004,archived ,     47513,SCIENCE         , 2022-07-09,         0,2021-06-17 09:21:09,"    2.552 (1.5814004,20.2029512)"
SWIFTJ0006.2+2012,Mrk_335                    ,00 06 25.9,+20 14 24,2021-06-18 06:01:09,60502006006,archived ,     47321,SCIENCE         , 2022-07-09,         0,2021-06-19 09:51:09,"    2.675 (1.5814004,20.2029512)"
SWIFTJ0006.2+2012,Mrk_335                    ,00 06 21.5,+20 14 11,2020-06-30 16:01:09,80502636002,archived ,     46464,SCIENCE         , 2021-01-10,         0,2020-07-01 18:16:09,"    2.059 (1.5814004,20.2029512)"
SWIFTJ0006.2+2012,Mrk_335                    ,00 06 21.8,+20 14 24,2020-07-03 06:51:09,80502636006,archived ,     45824,SCIENCE         , 2021-01-10,         0,2020-07-04 09:31:09,"    2.291 (1.5814004,20.2029512)"
SWIFTJ0006.2+2012,Mrk_335                    ,00 06 27.6,+20 15 22,2021-06-22 05:06:09,60502006010,archived ,     43129,SCIENCE         , 2022-07-09,         1,2021-06-23 10:56:09,"    3.697 (1.5814004,20.2029512)"
SWIFTJ0006.2+2012,Mrk_335                    ,00 06 24.3,+20 14 27,2020-06-07 23:41:09,90602619006,archived ,     30495,SCIENCE         , 2020-06-19,         0,2020-06-08 17:41:09,"    2.533 (1.5814004,20.2029512)"
SWIFTJ0006.2+2012,Mrk_335                    ,00 06 24.1,+20 14 27,2020-06-06 23:31:09,90602619004,archived ,     30156,SCIENCE         , 2020-06-19,         0,2020-06-07 17:16:09,"    2.513 (1.5814004,20.2029512)"
