id,nustar_obsid
SWIFTJ1229.1+0202,10002020001
SWIFTJ0333.6-3607,60002046002
SWIFTJ0333.6-3607,60002046003
SWIFTJ2127.4+5654,60001110002
SWIFTJ2127.4+5654,60001110003
SWIFTJ2127.4+5654,60001110005
SWIFTJ2127.4+5654,60001110007
SWIFTJ1210.5+3924,60001111005
SWIFTJ0333.6-3607,60002046005
SWIFTJ0333.6-3607,60002046005
SWIFTJ0333.6-3607,60002046007
SWIFTJ0333.6-3607,60002046007
SWIFTJ1335.8-3416,60001047002
SWIFTJ1335.8-3416,60001047002
SWIFTJ1335.8-3416,60001047003
SWIFTJ1335.8-3416,60001047003
SWIFTJ1335.8-3416,60001047003
SWIFTJ1335.8-3416,60001047005
SWIFTJ1335.8-3416,60001047005
SWIFTJ1412.9-6522,30002038004
SWIFTJ0433.0+0521,60001042002
SWIFTJ0433.0+0521,60001042003
SWIFTJ0433.0+0521,60001042003
SWIFTJ0333.6-3607,60002046009
SWIFTJ0516.2-0009,60001044002
SWIFTJ1417.9+2507,60002044002
SWIFTJ1417.9+2507,60002044003
SWIFTJ1417.9+2507,60002044005
SWIFTJ1325.4-4301,60001081002
SWIFTJ0234.6-0848,60061025002
SWIFTJ0521.0-2522,60002027004
SWIFTJ0521.0-2522,60002027005
SWIFTJ1417.9+2507,60002044008
SWIFTJ0516.2-0009,60001044004
SWIFTJ0123.9-5846,60001130002
SWIFTJ0123.9-5846,60001130003
SWIFTJ1139.0-2323,80002031002
SWIFTJ1139.0-2323,80002031003
SWIFTJ0242.6+0000,60002033002
SWIFTJ1158.9+4234,60001148002
SWIFTJ1158.9+4234,60001148004
SWIFTJ2236.7-1233,60002060002
SWIFTJ2236.7-1233,60002060004
SWIFTJ2236.7-1233,60002060006
SWIFTJ1239.6-0519,60001149002
SWIFTJ1239.6-0519,60001149004
SWIFTJ1239.6-0519,60001149006
SWIFTJ1239.6-0519,60001149008
SWIFTJ1239.6-0519,60001149010
SWIFTJ0615.8+7101,60002049002
SWIFTJ0615.8+7101,60002049006
SWIFTJ0615.8+7101,60002049009
SWIFTJ0615.8+7101,60002049010
SWIFTJ2254.1-1734,60102025002
SWIFTJ2303.3+0852,60101001002
SWIFTJ2254.1-1734,60102025004
SWIFTJ1218.5+2952,60101022002
SWIFTJ1229.1+0202,10002020003
SWIFTJ1504.2+1025,60101023002
SWIFTJ0228.1+3118,60101002002
SWIFTJ0228.1+3118,60101002004
SWIFTJ1937.5-0613,60101003002
SWIFTJ2254.1-1734,60102025006
SWIFTJ2303.3+0852,60101001004
SWIFTJ2254.1-1734,60102025008
SWIFTJ2303.3+0852,60101001006
SWIFTJ2303.3+0852,60101001010
SWIFTJ2303.3+0852,60101001012
SWIFTJ2303.3+0852,60101001014
SWIFTJ1322.2-1641,60101020002
SWIFTJ2318.4-4223,60201003002
SWIFTJ2235.9-2602,60201031002
SWIFTJ1229.1+0202,10202020002
SWIFTJ1412.9-6522,90201034002
SWIFTJ1835.0+3240,60202015002
