|name                  |ra         |dec        |time               |stop_time          |obsid    |exposure    |public_date|_Search_Offset                 |
|2MASX J02485937+2630  |02 48 54.00|+26 34 14.5|2009-07-18 03:49:17|2009-07-19 09:02:25|704013010| 42950.10000| 2010-08-07|  3.776 (42.2472632,26.5110089)|
|SWIFT J0250.7+4142    |02 50 39.10|+41 40 28.9|2014-08-03 01:18:02|2014-08-04 21:09:21|709006010| 82154.90000| 2015-09-02|   0.318 (42.668669,41.6716011)|
|MCG0208               |02 52 23.11|-08 30 46.4|2009-07-04 02:22:08|2009-07-05 05:07:24|704045010| 42911.50000| 2010-07-18|  0.172 (43.0975085,-8.5103004)|
|SWIFT J0255.2-0011    |02 55 15.86|-00 14 22.9|2007-01-23 14:54:10|2007-01-26 05:30:25|701013010|101632.10000| 2008-09-26|    3.482 (43.8007801,-0.18372)|
|NGC 1142              |02 55 07.85|-00 07 46.2|2007-07-21 10:48:56|2007-07-22 10:20:24|702079010| 40569.70000| 2008-08-28|    3.429 (43.8007801,-0.18372)|
|NGC1194               |03 03 48.53|-01 06 15.8|2009-08-01 16:35:17|2009-08-02 19:32:19|704046010| 50316.10000| 2010-08-19|  0.150 (45.9545984,-1.1037141)|
|B3 0309+411           |03 13 07.42|+41 19 56.6|2012-02-19 12:14:28|2012-02-22 00:59:07|706036010|104624.50000| 2013-03-09|  1.027 (48.2581728,41.3336849)|
|SWIFT J0318.7+6828    |03 17 43.56|+68 32 22.2|2007-09-22 10:46:17|2007-09-24 03:00:14|702075010| 77115.60000| 2008-10-31|  4.317 (49.5795565,68.4922102)|
|PERSEUS CLUSTER       |03 19 46.46|+41 31 03.0|2006-08-29 18:55:07|2006-09-02 01:54:19|101012010|150905.10000| 2006-04-01|  0.470 (49.9506711,41.5117309)|
|PERSEUS_CLUSTER_Normal|03 19 49.56|+41 30 18.0|2008-02-07 02:09:42|2008-02-08 10:30:19|102012010| 61742.60000| 2007-04-01|  0.481 (49.9506711,41.5117309)|
|PERSEUS 1/4 WIN       |03 19 46.66|+41 30 57.6|2009-08-27 03:29:15|2009-08-28 12:00:14|104020010| 55044.90000| 2009-04-01|  0.381 (49.9506711,41.5117309)|
|A426                  |03 19 49.30|+41 30 14.0|2006-02-01 13:39:13|2006-02-02 12:42:25|800010010| 50398.60000| 2007-05-27|  0.516 (49.9506711,41.5117309)|
|PERSEUS               |03 19 49.10|+41 30 19.8|2009-02-11 17:31:00|2009-02-12 19:32:19|103004020| 50006.60000| 2008-04-01|  0.413 (49.9506711,41.5117309)|
|PERSEUS               |03 19 48.74|+41 30 05.8|2012-02-07 20:19:42|2012-02-08 22:00:23|106005020| 46813.80000| 2011-04-01|  0.618 (49.9506711,41.5117309)|
|PERSEUS_CI_6          |03 19 49.85|+41 30 00.4|2011-02-22 04:59:43|2011-02-23 04:30:14|105027010| 45272.20000| 2010-04-01|  0.766 (49.9506711,41.5117309)|
|PERSEUS CLUSTER       |03 19 49.01|+41 30 16.9|2007-02-05 15:57:48|2007-02-06 14:30:14|101012020| 43871.40000| 2006-04-01|  0.451 (49.9506711,41.5117309)|
|PERSEUS CLUSTER       |03 19 47.06|+41 31 04.4|2007-08-15 12:40:49|2007-08-16 11:27:22|102011010| 42281.70000| 2007-04-01|  0.423 (49.9506711,41.5117309)|
|PERSEUS               |03 19 46.66|+41 31 01.6|2009-08-26 04:00:28|2009-08-27 03:29:14|104018010| 41279.80000| 2009-04-01|  0.428 (49.9506711,41.5117309)|
|PERSEUS               |03 19 47.02|+41 31 04.1|2013-08-15 10:35:14|2013-08-16 08:32:24|108005010| 41256.90000| 2013-04-01|  0.423 (49.9506711,41.5117309)|
|PERSEUS               |03 19 46.75|+41 31 02.6|2012-08-20 23:30:51|2012-08-21 23:34:10|107005010| 41131.50000| 2012-04-01|  0.430 (49.9506711,41.5117309)|
|PERSEUS               |03 19 46.39|+41 31 33.6|2011-07-27 12:27:12|2011-07-28 13:07:23|106005010| 40838.20000| 2011-04-01|  0.918 (49.9506711,41.5117309)|
|PERSEUS               |03 19 47.23|+41 31 04.8|2008-08-13 14:28:17|2008-08-14 14:53:24|103004010| 40568.50000| 2008-04-01|  0.414 (49.9506711,41.5117309)|
|PERSEUS               |03 19 49.37|+41 30 10.1|2011-02-03 00:35:55|2011-02-03 22:59:18|105009020| 40461.10000| 2010-04-01|  0.582 (49.9506711,41.5117309)|
|PERSEUS_CI_2          |03 19 46.54|+41 31 30.4|2011-07-26 12:07:10|2011-07-27 12:26:19|106006010| 40145.30000| 2011-04-01|  0.858 (49.9506711,41.5117309)|
|PERSEUS               |03 19 48.29|+41 29 36.2|2010-02-01 08:03:24|2010-02-02 06:00:19|104019010| 38615.10000| 2009-04-01|  1.100 (49.9506711,41.5117309)|
|PERSEUS               |03 19 49.10|+41 30 18.7|2014-02-05 12:38:23|2014-02-06 09:10:07|108005020| 37999.60000| 2013-04-01|  0.430 (49.9506711,41.5117309)|
|PERSEUS               |03 19 49.49|+41 30 37.1|2013-02-11 04:59:55|2013-02-12 04:49:05|107005020| 37690.10000| 2012-04-01|  0.263 (49.9506711,41.5117309)|
|PERSEUS               |03 19 49.44|+41 30 19.4|2015-03-03 17:40:55|2015-03-04 14:02:20|109005020| 37204.60000| 2014-04-01|  0.449 (49.9506711,41.5117309)|
|PERSEUS               |03 19 45.74|+41 31 11.6|2010-08-09 09:10:56|2010-08-10 00:15:18|105009010| 33624.20000| 2010-04-01|  0.667 (49.9506711,41.5117309)|
|PERSEUS_PSUM          |03 19 49.54|+41 30 20.2|2015-03-05 02:44:21|2015-03-05 18:36:23|109007010| 30680.20000| 2014-04-01|  0.449 (49.9506711,41.5117309)|
|PERSEUS (1/4WIN)      |03 19 49.22|+41 30 20.5|2009-02-12 19:33:08|2009-02-13 10:33:19|103005020| 28816.20000| 2008-04-01|  0.413 (49.9506711,41.5117309)|
|PERSEUS_1_4_WIN       |03 19 45.67|+41 31 15.6|2010-08-10 00:15:19|2010-08-10 15:31:19|105010010| 27372.70000| 2010-04-01|  0.726 (49.9506711,41.5117309)|
|PERSEUS_1_4_WIN       |03 19 46.63|+41 31 04.1|2012-08-20 12:56:40|2012-08-20 23:30:22|107006010| 23678.60000| 2012-04-01|  0.463 (49.9506711,41.5117309)|
|PERSEUS_1_4_WIN       |03 19 49.34|+41 30 19.1|2015-03-04 14:02:21|2015-03-05 02:44:20|109006010| 23649.20000| 2014-04-01|  0.445 (49.9506711,41.5117309)|
|PERSEUS_1_4_WIN_CI_2  |03 19 46.25|+41 31 06.2|2011-08-22 18:10:42|2011-08-23 05:38:10|106008010| 23202.30000| 2011-04-01|  0.537 (49.9506711,41.5117309)|
|PERSEUS_1_4_WIN       |03 19 49.34|+41 30 18.7|2013-02-12 04:49:58|2013-02-12 16:30:06|107006020| 22024.70000| 2012-04-01|  0.450 (49.9506711,41.5117309)|
|PERSEUS 1/4 WIN       |03 19 48.14|+41 29 41.6|2010-02-02 06:01:08|2010-02-02 16:59:19|104021010| 21641.50000| 2009-04-01|  1.010 (49.9506711,41.5117309)|
|PERSEUS_1_4_WIN       |03 19 47.26|+41 31 03.4|2013-08-16 08:33:09|2013-08-16 19:25:23|108006010| 21623.90000| 2013-04-01|  0.391 (49.9506711,41.5117309)|
|PERSEUS (1/4WIN)      |03 19 47.40|+41 31 04.8|2008-08-14 14:53:25|2008-08-15 02:34:19|103005010| 21478.00000| 2008-04-01|  0.402 (49.9506711,41.5117309)|
|PERSEUS_1_4_WIN       |03 19 49.25|+41 30 13.3|2011-02-02 11:05:51|2011-02-03 00:35:18|105010020| 21092.60000| 2010-04-01|  0.523 (49.9506711,41.5117309)|
|PERSEUS_1_4_WIN       |03 19 46.51|+41 30 58.3|2011-08-23 05:38:11|2011-08-23 17:12:10|106007010| 20971.30000| 2011-04-01|  0.409 (49.9506711,41.5117309)|
|PERSEUS_1_4_WIN       |03 19 48.96|+41 30 05.4|2012-02-08 22:00:24|2012-02-09 10:00:10|106007020| 20856.90000| 2011-04-01|  0.632 (49.9506711,41.5117309)|
|PERSEUS_1_4_WIN_CI_6  |03 19 49.56|+41 30 05.0|2011-02-21 17:48:47|2011-02-22 04:59:14|105028010| 20636.30000| 2010-04-01|  0.673 (49.9506711,41.5117309)|
|PERSEUS               |03 19 46.42|+41 31 04.1|2014-08-27 16:08:56|2014-08-28 04:27:04|109005010| 19977.30000| 2014-04-01|  0.489 (49.9506711,41.5117309)|
|PERSEUS_1_4_WIN       |03 19 49.08|+41 30 18.0|2014-02-06 09:10:08|2014-02-06 18:55:13|108006020| 18956.50000| 2013-04-01|  0.439 (49.9506711,41.5117309)|
|1H0323+342            |03 24 41.90|+34 10 26.8|2013-03-01 14:49:00|2013-03-03 19:23:21|707015010|101272.00000| 2014-03-23|   0.353 (51.1714997,34.179396)|
|1H0323+342            |03 24 36.17|+34 14 28.0|2009-07-26 03:51:03|2009-07-28 05:00:12|704034010| 84088.40000| 2010-08-11|   3.843 (51.1714997,34.179396)|
|PKS 0326-288          |03 28 37.22|-28 41 47.4|2010-01-30 21:20:07|2010-02-01 07:50:19|704039010| 58023.70000| 2011-02-24|   0.211 (52.152142,-28.698871)|
|NGC 1365              |03 33 35.42|-36 08 28.3|2010-07-15 21:29:45|2010-07-22 08:49:23|705031020|302175.30000| 2010-04-01|  0.208 (53.4016964,-36.140186)|
|NGC 1365              |03 33 35.23|-36 08 04.9|2008-01-21 05:31:17|2008-01-25 00:00:18|702047010|160505.70000| 2009-02-21|  0.406 (53.4016964,-36.140186)|
|NGC 1365              |03 33 33.82|-36 08 27.2|2010-06-27 00:40:55|2010-06-30 23:36:11|705031010|151613.40000| 2010-04-01|  0.525 (53.4016964,-36.140186)|
|NGC1365               |03 33 37.15|-36 08 44.9|2012-07-08 20:16:14|2012-07-09 16:35:09|707017020| 33585.80000| 2013-08-04|  0.369 (53.4016964,-36.140186)|
|NGC1365               |03 33 36.91|-36 08 43.4|2012-07-29 08:16:06|2012-07-30 02:28:21|707017040| 31360.30000| 2013-08-24|  0.329 (53.4016964,-36.140186)|
|NGC1365               |03 33 37.25|-36 08 42.7|2012-06-29 03:39:45|2012-06-29 23:56:06|707017010| 30694.90000| 2013-07-18|  0.345 (53.4016964,-36.140186)|
|NGC1365               |03 33 37.73|-36 08 49.6|2012-07-17 09:18:11|2012-07-17 21:30:22|707017030| 26767.20000| 2013-10-17|  0.493 (53.4016964,-36.140186)|
|ESO 548-G081          |03 41 58.25|-21 11 41.6|2009-08-03 08:02:28|2009-08-04 04:40:14|704026010| 39411.20000| 2010-08-19|   3.227 (55.5154676,-21.24431)|
|SWIFT J0350.1-5019    |03 50 39.89|-50 17 59.3|2006-11-23 02:07:53|2006-11-23 13:33:14|701017020| 19271.00000| 2008-10-11|  2.704 (57.5957829,-50.302613)|
|SWIFT J0350.1-5019    |03 50 20.71|-50 21 06.5|2007-03-03 07:01:36|2007-03-03 12:05:19|701017030|  8148.70000| 2008-10-11|  2.973 (57.5957829,-50.302613)|
|SWIFT J0350.1-5019    |03 50 07.56|-50 20 01.3|2006-04-13 12:06:45|2006-04-13 16:12:19|701017010|  2699.80000| 2008-10-11|  3.089 (57.5957829,-50.302613)|
|3C 105                |04 07 21.58|+03 39 06.5|2008-02-05 12:52:17|2008-02-07 02:00:05|702074010| 38319.00000| 2009-02-21|    3.559 (61.8186282,3.707181)|
|3C 111                |04 18 17.78|+38 05 20.0|2008-08-22 09:56:26|2008-08-25 04:24:24|703034010|122378.00000| 2009-09-10|  3.801 (64.5886425,38.0266014)|
|3C111                 |04 18 20.11|+38 02 11.0|2010-09-02 03:49:24|2010-09-03 21:35:18|705040010| 80683.00000| 2011-09-18|  0.631 (64.5886425,38.0266014)|
|3C111                 |04 18 20.11|+38 01 58.4|2010-09-14 23:02:22|2010-09-16 17:50:21|705040030| 80365.90000| 2011-10-01|  0.442 (64.5886425,38.0266014)|
|3C111                 |04 18 20.11|+38 02 02.8|2010-09-09 00:38:43|2010-09-10 18:12:18|705040020| 79419.80000| 2011-09-23|  0.505 (64.5886425,38.0266014)|
|NGC 1566              |04 20 00.91|-54 56 25.1|2012-05-19 01:36:44|2012-05-20 06:34:19|707002010| 72791.00000| 2013-05-30|  0.160 (65.0016418,-54.937944)|
|1H0419-577            |04 26 02.78|-57 12 39.6|2007-07-25 05:33:59|2007-07-28 02:00:19|702041010|205862.80000| 2008-08-28|  0.689 (66.5030053,-57.200506)|
|1H 0419-577           |04 26 15.79|-57 14 03.5|2010-01-16 11:36:08|2010-01-18 19:44:19|704064010|122835.40000| 2011-02-02|  2.876 (66.5030053,-57.200506)|
|3C120                 |04 33 11.62|+05 20 58.6|2012-02-09 10:09:43|2012-02-13 21:00:18|706042010|183001.50000| 2011-04-01|   0.312 (68.2962182,5.3543204)|
|3C120                 |04 33 11.90|+05 21 04.0|2012-02-14 17:57:38|2012-02-17 21:10:04|706042020|118068.90000| 2011-04-01|   0.280 (68.2962182,5.3543204)|
|3C120                 |04 33 11.62|+05 21 19.8|2006-02-09 03:39:55|2006-02-10 05:50:23|700001010| 41932.10000| 2007-05-27|   0.148 (68.2962182,5.3543204)|
|3C120                 |04 33 11.52|+05 21 20.2|2006-02-16 13:26:43|2006-02-17 14:06:17|700001020| 41554.50000| 2007-05-27|   0.131 (68.2962182,5.3543204)|
|3C120                 |04 33 11.83|+05 21 12.6|2006-02-23 11:02:13|2006-02-24 20:59:51|700001030| 40907.30000| 2007-05-27|   0.191 (68.2962182,5.3543204)|
|3C120                 |04 33 11.50|+05 21 14.8|2006-03-02 22:41:47|2006-03-03 20:39:19|700001040| 40905.10000| 2007-05-27|   0.101 (68.2962182,5.3543204)|
|UGC 03142             |04 43 47.26|+28 58 05.2|2013-02-12 16:36:59|2013-02-13 23:52:16|707032010| 51284.70000| 2014-03-05|  0.250 (70.9450084,28.9719194)|
|SWIFT J0444.1+2813    |04 44 06.96|+28 16 45.5|2008-09-10 17:13:03|2008-09-12 15:08:12|703021010| 81298.60000| 2009-11-13|  3.773 (71.0375969,28.2168791)|
|LEDA 168563           |04 52 03.79|+49 33 02.2|2013-09-01 21:03:24|2013-09-04 01:25:21|708017010|100011.00000| 2013-04-01|   0.329 (73.019859,49.5457929)|
|IRAS 04507+0358       |04 53 27.24|+04 07 23.9|2009-09-01 00:32:53|2009-09-04 03:15:20|704058010|109052.40000| 2010-10-07|   3.719 (73.3572496,4.0616296)|
|SWIFT J0505.7-2348    |05 05 42.84|-23 54 19.8|2006-04-01 22:12:36|2006-04-04 02:55:14|701014010| 78554.40000| 2007-12-05|  3.165 (76.4405341,-23.853913)|
|IRAS 05078+1626       |05 10 45.86|+16 29 31.9|2013-02-28 15:07:27|2013-03-01 14:40:15|707029010| 46016.70000| 2014-04-02|  0.444 (77.6897199,16.4994853)|
|ARK 120               |05 16 10.54|-00 12 23.0|2007-04-01 18:07:26|2007-04-03 21:43:25|702014010|100863.50000| 2008-10-05|  3.405 (79.0475231,-0.1497602)|
|MCG-02-14-009         |05 16 15.77|-10 30 38.2|2008-08-28 22:35:03|2008-09-01 00:44:24|703060010|142152.20000| 2009-09-26|  3.335 (79.0883956,-10.561507)|
|SWIFT J0501.9-3239    |05 19 29.83|-32 42 14.8|2008-04-11 15:48:08|2008-04-12 21:05:30|703014010| 41298.50000| 2009-05-02|  3.053 (79.8992349,-32.657752)|
|F05189-2524           |05 20 57.19|-25 24 42.1|2006-04-10 16:16:56|2006-04-12 15:31:21|701097010| 78155.50000| 2007-10-28|  3.097 (80.2558208,-25.362564)|
|PKS 0528+134          |05 30 55.37|+13 35 25.8|2008-09-27 02:38:12|2008-10-02 16:12:24|703048010|203457.40000| 2009-11-13|   3.518 (82.7350444,13.532022)|
|0528+134              |05 30 55.75|+13 32 27.6|2011-09-28 16:19:32|2011-09-29 00:17:12|706043010| 14789.20000| 2012-10-25|   0.562 (82.7350444,13.532022)|
|SWIFT J0544.4-4328    |05 44 02.38|-43 25 08.4|2015-04-28 22:12:18|2015-05-01 08:37:16|709005010| 84362.00000| 2016-05-19|  0.518 (86.0003568,-43.424133)|
|PKS 0548-322          |05 50 40.97|-32 16 26.0|2012-04-06 14:39:12|2012-04-09 09:20:22|707040010|102656.70000| 2013-05-03|  0.183 (87.6690369,-32.271198)|
|NGC 2110              |05 52 10.97|-07 27 31.0|2012-08-31 02:31:38|2012-09-02 12:59:22|707034010|103259.50000| 2014-01-10|   0.174 (88.0474074,-7.456243)|
|NGC 2110              |05 52 10.66|-07 27 28.8|2005-09-16 09:06:40|2005-09-18 19:56:24|100024010|101748.70000| 2007-05-27|   0.208 (88.0474074,-7.456243)|
|NGC2110               |05 52 11.74|-07 27 11.9|2015-03-20 19:10:09|2015-03-22 07:18:23|709011010| 45625.70000| 2016-06-19|   0.198 (88.0474074,-7.456243)|
|MCG+8-11-11           |05 54 53.59|+46 30 14.0|2007-09-17 01:46:02|2007-09-19 06:20:14|702112010| 98748.10000| 2008-10-12|  3.871 (88.7233595,46.4393815)|
|PKS 0558-504          |05 59 44.02|-50 26 24.7|2007-01-19 18:23:18|2007-01-20 07:41:14|701011030| 21256.30000| 2008-09-26|  0.704 (89.9474604,-50.447783)|
|PKS 0558-504          |05 59 44.11|-50 26 30.1|2007-01-17 11:14:49|2007-01-18 02:42:24|701011010| 20620.70000| 2008-09-26|  0.637 (89.9474604,-50.447783)|
|PKS 0558-504          |05 59 43.78|-50 26 24.4|2007-01-20 20:09:44|2007-01-21 07:52:19|701011040| 19738.10000| 2008-09-26|  0.737 (89.9474604,-50.447783)|
|PKS 0558-504          |05 59 44.04|-50 26 22.2|2007-01-21 21:49:08|2007-01-22 08:28:19|701011050| 19515.40000| 2008-09-26|  0.729 (89.9474604,-50.447783)|
|PKS 0558-504          |05 59 44.11|-50 26 27.2|2007-01-18 16:47:43|2007-01-19 06:22:19|701011020| 18875.30000| 2008-09-26|  0.666 (89.9474604,-50.447783)|
|SWIFT J0601.9-8636    |06 04 36.55|-86 40 40.4|2006-04-13 16:24:08|2006-04-14 01:52:19|701018010| 19765.70000| 2007-10-24|  2.933 (91.4218863,-86.631625)|
|MKN 3                 |06 15 32.14|+71 02 51.7|2005-10-22 02:02:09|2005-10-24 06:26:14|100040010| 95026.50000| 2007-05-27|   0.702 (93.901482,71.0374823)|
|MARKARIAN 3           |06 15 34.10|+71 03 00.4|2014-10-01 22:08:01|2014-10-02 10:02:09|709022010| 23831.00000| 2015-11-19|   0.779 (93.901482,71.0374823)|
|MARKARIAN 3           |06 15 40.49|+71 01 48.4|2015-03-23 05:48:56|2015-03-23 15:02:23|709022040| 23518.00000| 2016-04-08|   0.556 (93.901482,71.0374823)|
|MARKARIAN 3           |06 15 31.49|+71 02 58.6|2014-10-23 03:37:31|2014-10-23 16:09:23|709022030| 22746.10000| 2015-12-20|   0.828 (93.901482,71.0374823)|
|MARKARIAN 3           |06 15 38.23|+71 01 30.0|2015-04-04 11:21:15|2015-04-04 23:42:19|709022050| 21455.60000| 2016-06-11|   0.764 (93.901482,71.0374823)|
|MARKARIAN 3           |06 15 33.77|+71 02 44.5|2014-10-07 19:20:38|2014-10-08 01:48:17|709022020| 17727.70000| 2015-12-02|   0.536 (93.901482,71.0374823)|
|MKN 6                 |06 52 16.44|+74 24 46.8|2015-04-21 14:07:12|2015-04-22 16:50:10|710001010| 50654.10000| 2016-06-09|  0.884 (103.051357,74.4269881)|
|SWIFT J0709.4-3559    |07 09 14.62|-36 01 21.4|2011-04-02 02:16:10|2011-04-04 01:32:13|706008010| 81173.90000| 2012-04-20|   0.104 (107.308761,-36.02276)|
|SWIFT J0714.2+3518    |07 14 04.03|+35 16 45.1|2015-04-04 23:51:20|2015-04-06 21:42:17|709007010| 79247.10000| 2016-06-26|   0.038 (108.516037,35.279275)|
|MARKARIAN 79          |07 42 32.57|+49 48 05.4|2007-04-03 21:55:26|2007-04-05 18:22:23|702044010| 83703.80000| 2008-08-17|  0.493 (115.636733,49.8096907)|
|SWIFT J0746.3+2548    |07 46 27.41|+25 52 45.1|2005-11-04 08:35:29|2005-11-06 14:04:15|700011010| 99428.40000| 2007-05-27|  3.729 (116.607792,25.8173101)|
|FG03                  |07 52 43.68|+45 57 25.9|2012-10-28 18:39:14|2012-10-29 02:35:21|807052010| 14318.50000| 2014-02-08|  0.483 (118.184184,45.9493009)|
|PHOENIX GALAXY        |08 03 58.10|+05 03 51.8|2007-05-02 07:54:40|2007-05-03 23:00:15|702111010| 58867.70000| 2008-10-05|   3.539 (121.024381,5.1138525)|
|PBC J0839.7-1214      |08 39 45.41|-12 18 10.4|2010-05-08 16:32:34|2010-05-10 11:45:10|705007010| 80564.30000| 2011-05-26|  3.818 (129.960768,-12.242866)|
|0836+714              |08 41 04.08|+70 49 44.4|2006-03-15 18:11:15|2006-03-16 14:00:24|700010010| 55626.10000| 2007-05-27|  4.298 (130.351496,70.8950594)|
|0836+710              |08 41 25.97|+70 54 32.8|2012-10-13 14:28:26|2012-10-13 19:44:13|707042010| 10613.00000| 2013-11-02|  0.853 (130.351496,70.8950594)|
|NGC 2655              |08 55 36.91|+78 12 33.8|2014-05-12 10:16:35|2014-05-14 01:45:22|709003010| 76837.10000| 2015-05-31|  0.836 (133.908303,78.2233042)|
|MRK 18                |09 02 02.21|+60 04 13.1|2010-05-14 12:03:43|2010-05-15 09:03:11|705001010| 37966.70000| 2011-07-27|  4.909 (135.493352,60.1517402)|
|NGC 2788A             |09 02 42.10|-68 13 05.2|2015-05-15 01:08:57|2015-05-16 05:21:10|710007010| 42233.90000| 2016-07-22|  0.576 (135.664435,-68.226803)|
|IGR J09026-4812       |09 02 35.23|-48 13 56.3|2013-11-26 07:41:17|2013-11-26 22:51:10|708031010| 37792.40000| 2013-04-01|  0.511 (135.655479,-48.226054)|
|SWIFT J0904.3+5538    |09 04 28.08|+55 34 29.6|2009-04-28 02:12:31|2009-04-28 16:48:14|704027010| 41943.80000| 2010-05-27|  1.994 (136.153986,55.6007443)|
|SWIFT J0911.2+4533    |09 11 37.49|+45 31 49.8|2008-10-25 04:27:32|2008-10-27 05:03:14|703008010| 93879.00000| 2009-11-13|   3.956 (137.87502,45.4682938)|
|MCG +04-22-042        |09 23 47.06|+22 58 09.5|2009-11-22 07:56:32|2009-11-23 06:19:19|704028010| 40962.00000| 2010-12-12|  3.734 (140.929146,22.9090576)|
