SwiftName,name,ra,dec,time,stop_time,obsid,exposure,public_date,_Search_Offset
SWIFTJ0249.1+2627,2MASX J02485937+2630  ,02 48 54.00,+26 34 14.5,2009-07-18 03:49:17,2009-07-19 09:02:25,704013010,42950.1, 2010-08-07,"  3.776 (42.2472632,26.5110089)"
SWIFTJ0250.7+4142,SWIFT J0250.7+4142    ,02 50 39.10,+41 40 28.9,2014-08-03 01:18:02,2014-08-04 21:09:21,709006010,82154.9, 2015-09-02,"   0.318 (42.668669,41.6716011)"
SWIFTJ0252.7-0822,MCG0208               ,02 52 23.11,-08 30 46.4,2009-07-04 02:22:08,2009-07-05 05:07:24,704045010,42911.5, 2010-07-18,"  0.172 (43.0975085,-8.5103004)"
SWIFTJ0255.2-0011,SWIFT J0255.2-0011    ,02 55 15.86,-00 14 22.9,2007-01-23 14:54:10,2007-01-26 05:30:25,701013010,101632.1, 2008-09-26,"    3.482 (43.8007801,-0.18372)"
SWIFTJ0255.2-0011,NGC 1142              ,02 55 07.85,-00 07 46.2,2007-07-21 10:48:56,2007-07-22 10:20:24,702079010,40569.7, 2008-08-28,"    3.429 (43.8007801,-0.18372)"
SWIFTJ0304.1-0108,NGC1194               ,03 03 48.53,-01 06 15.8,2009-08-01 16:35:17,2009-08-02 19:32:19,704046010,50316.1, 2010-08-19,"  0.150 (45.9545984,-1.1037141)"
SWIFTJ0312.9+4121,B3 0309+411           ,03 13 07.42,+41 19 56.6,2012-02-19 12:14:28,2012-02-22 00:59:07,706036010,104624.5, 2013-03-09,"  1.027 (48.2581728,41.3336849)"
SWIFTJ0318.7+6828,SWIFT J0318.7+6828    ,03 17 43.56,+68 32 22.2,2007-09-22 10:46:17,2007-09-24 03:00:14,702075010,77115.6, 2008-10-31,"  4.317 (49.5795565,68.4922102)"
SWIFTJ0319.7+4132,PERSEUS CLUSTER       ,03 19 46.46,+41 31 03.0,2006-08-29 18:55:07,2006-09-02 01:54:19,101012010,150905.1, 2006-04-01,"  0.470 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_CLUSTER_Normal,03 19 49.56,+41 30 18.0,2008-02-07 02:09:42,2008-02-08 10:30:19,102012010,61742.6, 2007-04-01,"  0.481 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS 1/4 WIN       ,03 19 46.66,+41 30 57.6,2009-08-27 03:29:15,2009-08-28 12:00:14,104020010,55044.9, 2009-04-01,"  0.381 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,A426                  ,03 19 49.30,+41 30 14.0,2006-02-01 13:39:13,2006-02-02 12:42:25,800010010,50398.6, 2007-05-27,"  0.516 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS               ,03 19 49.10,+41 30 19.8,2009-02-11 17:31:00,2009-02-12 19:32:19,103004020,50006.6, 2008-04-01,"  0.413 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS               ,03 19 48.74,+41 30 05.8,2012-02-07 20:19:42,2012-02-08 22:00:23,106005020,46813.8, 2011-04-01,"  0.618 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_CI_6          ,03 19 49.85,+41 30 00.4,2011-02-22 04:59:43,2011-02-23 04:30:14,105027010,45272.2, 2010-04-01,"  0.766 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS CLUSTER       ,03 19 49.01,+41 30 16.9,2007-02-05 15:57:48,2007-02-06 14:30:14,101012020,43871.4, 2006-04-01,"  0.451 (49.9506711,41.5117309)"
