Position|E(B-V)_Mean|E(B-V)_Weighted|NHI_Mean|NHI_Weighted|NH2_Mean|NH2_Weighted|NHtot_Mean|NHtot_Weighted|
J 12.89591, 29.40129| 0.059 | 0.058    | 5.61e+20 | 5.64e+20 | 1.21e+20 | 1.18e+20 | 6.82e+20 | 6.82e+20 |
J 12.97818, 17.43292| 0.065 | 0.060    | 4.03e+20 | 4.12e+20 | 9.42e+19 | 8.91e+19 | 4.98e+20 | 5.01e+20 |
J 13.01585, -27.39692| 0.015 | 0.015    | 1.56e+20 | 1.55e+20 | 7.08e+18 | 7.00e+18 | 1.63e+20 | 1.62e+20 |
J 13.71717, 25.42751| 0.048 | 0.046    | 4.48e+20 | 4.40e+20 | 7.56e+19 | 7.22e+19 | 5.24e+20 | 5.12e+20 |
J 14.30351, 63.99525| 1.534 | 1.479    | 8.67e+21 | 8.59e+21 | 1.44e+21 | 1.44e+21 | 1.01e+22 | 1.00e+22 |
J 14.97200, 31.82702| 0.062 | 0.063    | 5.21e+20 | 5.21e+20 | 1.17e+20 | 1.19e+20 | 6.38e+20 | 6.40e+20 |
J 15.14568, -47.86772| 0.012 | 0.012    | 2.28e+20 | 1.93e+20 | 8.34e+18 | 6.89e+18 | 2.36e+20 | 2.00e+20 |
J 15.35162, -3.14448| 0.034 | 0.033    | 3.35e+20 | 3.26e+20 | 3.89e+19 | 3.68e+19 | 3.74e+20 | 3.63e+20 |
J 15.89049, -64.65212| 0.021 | 0.022    | 2.28e+20 | 2.31e+20 | 1.51e+19 | 1.59e+19 | 2.43e+20 | 2.47e+20 |
J 16.36173, -42.21622| 0.010 | 0.010    | 2.50e+20 | 2.58e+20 | 7.75e+18 | 8.01e+18 | 2.58e+20 | 2.66e+20 |
J 16.40834, -47.07169| 0.012 | 0.012    | 2.07e+20 | 2.00e+20 | 7.27e+18 | 7.09e+18 | 2.14e+20 | 2.07e+20 |
J 16.41166, -14.27044| 0.023 | 0.022    | 2.06e+20 | 2.08e+20 | 1.48e+19 | 1.46e+19 | 2.21e+20 | 2.23e+20 |
J 16.44458, -34.52897| 0.019 | 0.019    | 1.82e+20 | 1.79e+20 | 1.06e+19 | 1.03e+19 | 1.93e+20 | 1.90e+20 |
J 16.68860, 6.63385 | 0.033 | 0.033    | 2.91e+20 | 2.91e+20 | 3.22e+19 | 3.17e+19 | 3.24e+20 | 3.23e+20 |
J 16.91518, -11.65312| 0.027 | 0.027    | 2.60e+20 | 2.48e+20 | 2.30e+19 | 2.13e+19 | 2.83e+20 | 2.69e+20 |
J 17.22031, 13.33732| 0.038 | 0.035    | 3.38e+20 | 3.23e+20 | 4.35e+19 | 3.79e+19 | 3.82e+20 | 3.60e+20 |
J 17.86516, -38.08346| 0.015 | 0.014    | 1.55e+20 | 1.56e+20 | 6.67e+18 | 6.56e+18 | 1.62e+20 | 1.63e+20 |
J 18.34456, 25.31480| 0.080 | 0.076    | 6.36e+20 | 6.32e+20 | 1.87e+20 | 1.76e+20 | 8.24e+20 | 8.08e+20 |
J 18.46267, 13.27175| 0.035 | 0.033    | 3.42e+20 | 3.37e+20 | 4.02e+19 | 3.78e+19 | 3.82e+20 | 3.75e+20 |
J 18.45868, -14.84565| 0.021 | 0.021    | 1.72e+20 | 1.77e+20 | 1.10e+19 | 1.17e+19 | 1.83e+20 | 1.89e+20 |
J 18.52921, -32.65088| 0.026 | 0.026    | 2.43e+20 | 2.39e+20 | 2.08e+19 | 2.01e+19 | 2.64e+20 | 2.59e+20 |
J 18.60391, -55.39705| 0.020 | 0.021    | 2.25e+20 | 2.25e+20 | 1.44e+19 | 1.46e+19 | 2.40e+20 | 2.40e+20 |
J 19.06167, 31.03384| 0.062 | 0.061    | 5.77e+20 | 5.73e+20 | 1.31e+20 | 1.27e+20 | 7.08e+20 | 7.00e+20 |
J 19.12979, -12.60471| 0.023 | 0.022    | 2.55e+20 | 2.43e+20 | 1.90e+19 | 1.74e+19 | 2.74e+20 | 2.61e+20 |
J 20.46464, -28.34937| 0.016 | 0.016    | 1.55e+20 | 1.55e+20 | 7.42e+18 | 7.47e+18 | 1.62e+20 | 1.62e+20 |
J 20.64340, 50.05498| 0.212 | 0.205    | 1.40e+21 | 1.36e+21 | 8.64e+20 | 8.27e+20 | 2.26e+21 | 2.18e+21 |
J 20.78598, 34.34678| 0.057 | 0.056    | 5.23e+20 | 5.20e+20 | 1.08e+20 | 1.05e+20 | 6.31e+20 | 6.25e+20 |
J 20.97655, -35.06544| 0.023 | 0.023    | 2.30e+20 | 2.31e+20 | 1.68e+19 | 1.72e+19 | 2.46e+20 | 2.48e+20 |
J 20.94072, -58.80577| 0.023 | 0.023    | 3.19e+20 | 3.16e+20 | 2.36e+19 | 2.37e+19 | 3.43e+20 | 3.40e+20 |
J 21.11167, 33.79949| 0.058 | 0.059    | 5.21e+20 | 5.29e+20 | 1.08e+20 | 1.13e+20 | 6.29e+20 | 6.42e+20 |
J 21.48308, 35.17691| 0.049 | 0.049    | 4.81e+20 | 4.86e+20 | 8.34e+19 | 8.43e+19 | 5.64e+20 | 5.70e+20 |
J 21.49193, 15.30380| 0.049 | 0.046    | 3.56e+20 | 3.56e+20 | 6.16e+19 | 5.71e+19 | 4.17e+20 | 4.13e+20 |
J 21.88549, 19.17883| 0.061 | 0.059    | 4.29e+20 | 4.26e+20 | 9.39e+19 | 9.04e+19 | 5.23e+20 | 5.16e+20 |
J 22.02801, -18.80863| 0.018 | 0.018    | 1.39e+20 | 1.38e+20 | 7.44e+18 | 7.46e+18 | 1.46e+20 | 1.46e+20 |
J 22.10184, 16.45933| 0.080 | 0.077    | 4.67e+20 | 4.60e+20 | 1.37e+20 | 1.28e+20 | 6.04e+20 | 5.88e+20 |
J 22.28186, -60.64504| 0.022 | 0.022    | 2.81e+20 | 2.69e+20 | 2.02e+19 | 1.90e+19 | 3.01e+20 | 2.88e+20 |
J 22.46323, -42.32645| 0.018 | 0.019    | 1.69e+20 | 1.72e+20 | 9.39e+18 | 9.98e+18 | 1.78e+20 | 1.82e+20 |
J 22.58872, -46.02915| 0.014 | 0.015    | 1.52e+20 | 1.54e+20 | 6.42e+18 | 6.77e+18 | 1.59e+20 | 1.60e+20 |
J 22.96001, -33.11929| 0.023 | 0.024    | 2.46e+20 | 2.49e+20 | 1.82e+19 | 1.94e+19 | 2.65e+20 | 2.68e+20 |
J 23.49035, -36.49322| 0.018 | 0.018    | 1.90e+20 | 1.95e+20 | 1.02e+19 | 1.10e+19 | 2.00e+20 | 2.06e+20 |
J 23.69014, -4.50366| 0.035 | 0.035    | 3.59e+20 | 3.61e+20 | 4.30e+19 | 4.37e+19 | 4.02e+20 | 4.05e+20 |
J 24.13583, 39.09978| 0.060 | 0.063    | 6.00e+20 | 6.17e+20 | 1.30e+20 | 1.42e+20 | 7.30e+20 | 7.59e+20 |
J 24.65483, -40.01144| 0.015 | 0.014    | 1.61e+20 | 1.63e+20 | 6.95e+18 | 6.92e+18 | 1.68e+20 | 1.70e+20 |
J 24.85002, 29.40196| 0.057 | 0.055    | 5.06e+20 | 4.95e+20 | 1.04e+20 | 9.87e+19 | 6.10e+20 | 5.93e+20 |
J 25.11167, -53.32761| 0.026 | 0.027    | 2.60e+20 | 2.63e+20 | 2.22e+19 | 2.32e+19 | 2.82e+20 | 2.86e+20 |
J 25.49070, 39.39145| 0.057 | 0.060    | 5.65e+20 | 5.83e+20 | 1.18e+20 | 1.26e+20 | 6.83e+20 | 7.09e+20 |
J 27.24871, 21.75943| 0.084 | 0.084    | 6.56e+20 | 6.72e+20 | 2.02e+20 | 2.08e+20 | 8.58e+20 | 8.80e+20 |
J 27.35350, 21.99735| 0.085 | 0.082    | 6.66e+20 | 6.63e+20 | 2.07e+20 | 2.00e+20 | 8.74e+20 | 8.63e+20 |
J 27.34268, -50.25206| 0.020 | 0.020    | 1.96e+20 | 1.90e+20 | 1.20e+19 | 1.16e+19 | 2.08e+20 | 2.02e+20 |
J 27.92441, -36.18783| 0.014 | 0.014    | 1.55e+20 | 1.56e+20 | 6.53e+18 | 6.59e+18 | 1.62e+20 | 1.62e+20 |
J 28.20433, -3.44684| 0.026 | 0.027    | 2.62e+20 | 2.72e+20 | 2.22e+19 | 2.37e+19 | 2.85e+20 | 2.96e+20 |
J 28.66799, -27.11703| 0.014 | 0.014    | 1.48e+20 | 1.53e+20 | 6.02e+18 | 6.45e+18 | 1.54e+20 | 1.60e+20 |
J 28.85397, 2.47126 | 0.025 | 0.025    | 2.85e+20 | 2.80e+20 | 2.35e+19 | 2.28e+19 | 3.09e+20 | 3.03e+20 |
J 29.29564, 47.26645| 0.145 | 0.136    | 1.21e+21 | 1.16e+21 | 5.85e+20 | 5.37e+20 | 1.79e+21 | 1.69e+21 |
J 30.07940, 24.47384| 0.101 | 0.099    | 7.65e+20 | 7.49e+20 | 2.82e+20 | 2.72e+20 | 1.05e+21 | 1.02e+21 |
J 30.27692, -6.81589| 0.025 | 0.025    | 2.13e+20 | 2.12e+20 | 1.70e+19 | 1.71e+19 | 2.30e+20 | 2.29e+20 |
J 30.57232, 68.36265| 1.140 | 1.131    | 3.74e+21 | 3.73e+21 | 1.44e+21 | 1.44e+21 | 5.18e+21 | 5.17e+21 |
J 30.38477, 68.40608| 1.140 | 1.140    | 3.74e+21 | 3.74e+21 | 1.44e+21 | 1.44e+21 | 5.18e+21 | 5.18e+21 |
J 30.75394, -24.03675| 0.016 | 0.017    | 1.56e+20 | 1.60e+20 | 7.50e+18 | 7.90e+18 | 1.64e+20 | 1.68e+20 |
J 31.56662, -0.29146| 0.029 | 0.029    | 2.39e+20 | 2.43e+20 | 2.23e+19 | 2.33e+19 | 2.61e+20 | 2.67e+20 |
J 31.75919, 29.51278| 0.067 | 0.065    | 5.54e+20 | 5.34e+20 | 1.36e+20 | 1.25e+20 | 6.89e+20 | 6.59e+20 |
J 31.96495, 44.84400| 0.085 | 0.084    | 8.50e+20 | 8.47e+20 | 2.63e+20 | 2.60e+20 | 1.11e+21 | 1.11e+21 |
J 32.14560, -17.65966| 0.030 | 0.030    | 2.45e+20 | 2.54e+20 | 2.37e+19 | 2.51e+19 | 2.69e+20 | 2.79e+20 |
J 32.33685, -10.13308| 0.024 | 0.024    | 2.50e+20 | 2.53e+20 | 1.93e+19 | 1.99e+19 | 2.69e+20 | 2.73e+20 |
J 32.40587, 52.44435| 0.183 | 0.181    | 1.53e+21 | 1.51e+21 | 8.32e+20 | 8.15e+20 | 2.36e+21 | 2.32e+21 |
J 32.71890, -49.69852| 0.018 | 0.019    | 1.67e+20 | 1.69e+20 | 9.25e+18 | 9.53e+18 | 1.77e+20 | 1.79e+20 |
J 33.57475, 51.74776| 0.178 | 0.178    | 1.46e+21 | 1.44e+21 | 7.91e+20 | 7.84e+20 | 2.25e+21 | 2.23e+21 |
J 33.63985, -0.76672| 0.031 | 0.032    | 2.64e+20 | 2.65e+20 | 2.73e+19 | 2.79e+19 | 2.92e+20 | 2.93e+20 |
J 33.65584, -64.50140| 0.028 | 0.027    | 2.80e+20 | 2.82e+20 | 2.53e+19 | 2.52e+19 | 3.05e+20 | 3.07e+20 |
J 33.90593, -12.99174| 0.021 | 0.021    | 1.68e+20 | 1.69e+20 | 1.05e+19 | 1.07e+19 | 1.78e+20 | 1.79e+20 |
J 34.11161, 51.42357| 0.188 | 0.182    | 1.44e+21 | 1.42e+21 | 8.14e+20 | 7.86e+20 | 2.26e+21 | 2.20e+21 |
J 34.37849, 73.82572| 0.722 | 0.758    | 2.50e+21 | 2.50e+21 | 1.44e+21 | 1.44e+21 | 3.93e+21 | 3.94e+21 |
J 35.52638, 52.35165| 0.213 | 0.211    | 1.68e+21 | 1.69e+21 | 9.66e+20 | 9.65e+20 | 2.64e+21 | 2.65e+21 |
J 35.64675, 25.13745| 0.087 | 0.085    | 6.25e+20 | 6.16e+20 | 2.00e+20 | 1.91e+20 | 8.25e+20 | 8.07e+20 |
J 35.88782, 45.82118| 0.103 | 0.104    | 1.10e+21 | 1.13e+21 | 4.04e+20 | 4.19e+20 | 1.50e+21 | 1.55e+21 |
J 36.26175, -23.21345| 0.019 | 0.019    | 1.75e+20 | 1.71e+20 | 1.03e+19 | 9.92e+18 | 1.85e+20 | 1.80e+20 |
J 36.26943, 18.78016| 0.241 | 0.251    | 9.26e+20 | 9.43e+20 | 7.08e+20 | 7.39e+20 | 1.63e+21 | 1.68e+21 |
J 36.28758, -63.22398| 0.026 | 0.026    | 2.57e+20 | 2.48e+20 | 2.19e+19 | 2.05e+19 | 2.79e+20 | 2.69e+20 |
J 36.60716, -28.34968| 0.016 | 0.016    | 1.65e+20 | 1.69e+20 | 7.98e+18 | 8.14e+18 | 1.73e+20 | 1.77e+20 |
J 36.72752, 23.79966| 0.129 | 0.123    | 7.57e+20 | 7.47e+20 | 3.51e+20 | 3.33e+20 | 1.11e+21 | 1.08e+21 |
J 37.06030, 31.31154| 0.089 | 0.090    | 6.69e+20 | 6.64e+20 | 2.19e+20 | 2.20e+20 | 8.88e+20 | 8.84e+20 |
J 37.52303, -8.99812| 0.031 | 0.030    | 3.51e+20 | 3.26e+20 | 3.68e+19 | 3.28e+19 | 3.88e+20 | 3.59e+20 |
J 37.96241, -36.67212| 0.029 | 0.028    | 2.57e+20 | 2.58e+20 | 2.46e+19 | 2.38e+19 | 2.81e+20 | 2.82e+20 |
J 38.20250, 20.28813| 0.128 | 0.128    | 8.06e+20 | 7.92e+20 | 3.69e+20 | 3.65e+20 | 1.18e+21 | 1.16e+21 |
J 38.58379, 32.50572| 0.104 | 0.107    | 6.70e+20 | 6.67e+20 | 2.54e+20 | 2.60e+20 | 9.24e+20 | 9.27e+20 |
J 38.65764, -8.78779| 0.029 | 0.028    | 3.19e+20 | 3.17e+20 | 3.04e+19 | 2.97e+19 | 3.49e+20 | 3.46e+20 |
J 38.80607, -29.60479| 0.019 | 0.018    | 1.78e+20 | 1.70e+20 | 1.00e+19 | 9.27e+18 | 1.89e+20 | 1.79e+20 |
J 39.58215, -52.19231| 0.035 | 0.034    | 2.93e+20 | 2.93e+20 | 3.44e+19 | 3.35e+19 | 3.27e+20 | 3.26e+20 |
J 39.67965, -61.28955| 0.025 | 0.025    | 2.37e+20 | 2.41e+20 | 1.88e+19 | 1.91e+19 | 2.55e+20 | 2.60e+20 |
J 39.70408, -40.64390| 0.019 | 0.020    | 1.87e+20 | 1.91e+20 | 1.10e+19 | 1.15e+19 | 1.98e+20 | 2.03e+20 |
J 40.27001, -8.25576| 0.026 | 0.026    | 2.79e+20 | 2.83e+20 | 2.33e+19 | 2.39e+19 | 3.02e+20 | 3.06e+20 |
J 40.39530, 7.18716 | 0.122 | 0.123    | 7.26e+20 | 7.19e+20 | 3.22e+20 | 3.22e+20 | 1.05e+21 | 1.04e+21 |
J 40.51592, 5.16838 | 0.077 | 0.080    | 5.04e+20 | 5.14e+20 | 1.42e+20 | 1.50e+20 | 6.46e+20 | 6.64e+20 |
J 40.56099, 5.50999 | 0.082 | 0.085    | 5.35e+20 | 5.28e+20 | 1.61e+20 | 1.64e+20 | 6.96e+20 | 6.92e+20 |
J 40.66960, -0.01329| 0.032 | 0.032    | 3.00e+20 | 2.92e+20 | 3.18e+19 | 3.07e+19 | 3.32e+20 | 3.22e+20 |
J 41.01249, 53.47451| 0.405 | 0.417    | 2.68e+21 | 2.68e+21 | 1.40e+21 | 1.40e+21 | 4.08e+21 | 4.08e+21 |
J 41.19884, -24.51385| 0.020 | 0.020    | 1.79e+20 | 1.78e+20 | 1.12e+19 | 1.10e+19 | 1.90e+20 | 1.89e+20 |
J 41.24040, 62.46848| 0.869 | 0.898    | 6.67e+21 | 6.67e+21 | 1.44e+21 | 1.44e+21 | 8.11e+21 | 8.11e+21 |
J 41.30614, 10.78967| 0.204 | 0.206    | 9.95e+20 | 1.00e+21 | 6.58e+20 | 6.69e+20 | 1.65e+21 | 1.67e+21 |
J 42.24726, 26.51101| 0.138 | 0.140    | 1.00e+21 | 1.03e+21 | 4.81e+20 | 4.99e+20 | 1.49e+21 | 1.53e+21 |
J 42.61329, 46.79148| 0.210 | 0.210    | 1.47e+21 | 1.47e+21 | 8.84e+20 | 8.86e+20 | 2.35e+21 | 2.36e+21 |
J 42.67738, 54.70485| 0.857 | 0.821    | 4.16e+21 | 4.06e+21 | 1.44e+21 | 1.44e+21 | 5.60e+21 | 5.50e+21 |
J 42.66867, 41.67160| 0.093 | 0.092    | 7.94e+20 | 8.05e+20 | 2.71e+20 | 2.71e+20 | 1.06e+21 | 1.08e+21 |
J 42.91856, -16.65064| 0.026 | 0.025    | 2.78e+20 | 2.63e+20 | 2.39e+19 | 2.16e+19 | 3.02e+20 | 2.85e+20 |
J 42.88255, -68.05158| 0.038 | 0.039    | 4.27e+20 | 4.34e+20 | 5.59e+19 | 5.83e+19 | 4.83e+20 | 4.92e+20 |
J 43.14172, 43.16744| 0.107 | 0.105    | 9.67e+20 | 9.74e+20 | 3.71e+20 | 3.67e+20 | 1.34e+21 | 1.34e+21 |
J 43.09751, -8.51030| 0.046 | 0.043    | 4.54e+20 | 4.46e+20 | 7.37e+19 | 6.80e+19 | 5.28e+20 | 5.14e+20 |
J 43.80078, -0.18372| 0.075 | 0.073    | 5.88e+20 | 5.81e+20 | 1.62e+20 | 1.55e+20 | 7.50e+20 | 7.36e+20 |
J 44.08973, -32.18563| 0.020 | 0.021    | 2.25e+20 | 2.38e+20 | 1.42e+19 | 1.57e+19 | 2.39e+20 | 2.54e+20 |
J 44.90637, 44.28833| 0.197 | 0.197    | 1.36e+21 | 1.37e+21 | 8.07e+20 | 8.10e+20 | 2.16e+21 | 2.18e+21 |
J 45.01799, -10.82461| 0.056 | 0.059    | 5.00e+20 | 5.29e+20 | 1.01e+20 | 1.13e+20 | 6.01e+20 | 6.42e+20 |
J 45.95460, -1.10371| 0.092 | 0.088    | 6.50e+20 | 6.03e+20 | 2.20e+20 | 1.94e+20 | 8.69e+20 | 7.97e+20 |
J 46.89727, -72.83404| 0.041 | 0.040    | 6.83e+20 | 6.74e+20 | 1.00e+20 | 9.72e+19 | 7.83e+20 | 7.71e+20 |
J 47.04514, -22.96023| 0.020 | 0.021    | 1.70e+20 | 1.72e+20 | 1.05e+19 | 1.08e+19 | 1.80e+20 | 1.83e+20 |
J 47.68489, 32.65808| 0.262 | 0.273    | 1.12e+21 | 1.14e+21 | 8.59e+20 | 8.92e+20 | 1.98e+21 | 2.04e+21 |
J 47.82837, -20.77170| 0.025 | 0.025    | 2.13e+20 | 2.06e+20 | 1.70e+19 | 1.60e+19 | 2.30e+20 | 2.22e+20 |
J 47.98021, -76.86411| 0.102 | 0.099    | 8.50e+20 | 8.57e+20 | 3.15e+20 | 3.09e+20 | 1.16e+21 | 1.17e+21 |
J 48.01238, 50.48739| 0.738 | 0.719    | 3.38e+21 | 3.30e+21 | 1.44e+21 | 1.44e+21 | 4.82e+21 | 4.74e+21 |
J 48.25817, 41.33368| 0.165 | 0.153    | 1.14e+21 | 1.11e+21 | 6.22e+20 | 5.74e+20 | 1.76e+21 | 1.69e+21 |
J 49.25903, 1.25501 | 0.113 | 0.115    | 7.05e+20 | 6.94e+20 | 2.91e+20 | 2.92e+20 | 9.96e+20 | 9.86e+20 |
J 49.57956, 68.49221| 0.829 | 0.799    | 3.13e+21 | 3.08e+21 | 1.44e+21 | 1.44e+21 | 4.57e+21 | 4.52e+21 |
J 49.95067, 41.51173| 0.171 | 0.164    | 1.38e+21 | 1.36e+21 | 7.37e+20 | 7.08e+20 | 2.12e+21 | 2.07e+21 |
J 51.17150, 34.17940| 0.255 | 0.251    | 1.26e+21 | 1.27e+21 | 9.09e+20 | 9.02e+20 | 2.17e+21 | 2.17e+21 |
J 51.25948, -41.90489| 0.012 | 0.012    | 1.26e+20 | 1.25e+20 | 4.25e+18 | 4.26e+18 | 1.30e+20 | 1.29e+20 |
J 51.30397, 40.69802| 0.176 | 0.180    | 1.48e+21 | 1.53e+21 | 7.93e+20 | 8.21e+20 | 2.27e+21 | 2.35e+21 |
J 51.34805, -56.59573| 0.030 | 0.031    | 1.93e+20 | 1.98e+20 | 1.85e+19 | 1.99e+19 | 2.12e+20 | 2.18e+20 |
J 52.15214, -28.69887| 0.011 | 0.010    | 9.86e+19 | 9.71e+19 | 3.07e+18 | 2.70e+18 | 1.02e+20 | 9.98e+19 |
J 52.71741, 5.64042 | 0.245 | 0.246    | 1.19e+21 | 1.19e+21 | 8.52e+20 | 8.55e+20 | 2.04e+21 | 2.04e+21 |
J 52.84599, -5.14168| 0.044 | 0.044    | 3.80e+20 | 3.81e+20 | 5.83e+19 | 5.86e+19 | 4.39e+20 | 4.40e+20 |
J 53.32826, 37.30310| 0.519 | 0.534    | 1.39e+21 | 1.39e+21 | 1.30e+21 | 1.31e+21 | 2.68e+21 | 2.70e+21 |
J 53.40170, -36.14019| 0.013 | 0.013    | 1.34e+20 | 1.34e+20 | 5.00e+18 | 5.20e+18 | 1.39e+20 | 1.39e+20 |
J 53.60204, -15.22771| 0.080 | 0.081    | 5.48e+20 | 5.60e+20 | 1.61e+20 | 1.66e+20 | 7.09e+20 | 7.26e+20 |
J 53.84406, 19.12469| 0.201 | 0.203    | 1.13e+21 | 1.16e+21 | 7.18e+20 | 7.34e+20 | 1.85e+21 | 1.89e+21 |
J 54.12547, 32.30815| 0.958 | 0.885    | 1.30e+21 | 1.26e+21 | 1.41e+21 | 1.40e+21 | 2.71e+21 | 2.66e+21 |
J 55.51547, -21.24431| 0.034 | 0.032    | 2.53e+20 | 2.29e+20 | 2.82e+19 | 2.42e+19 | 2.82e+20 | 2.53e+20 |
J 56.30220, -39.57480| 0.014 | 0.014    | 2.41e+20 | 2.88e+20 | 9.94e+18 | 1.24e+19 | 2.51e+20 | 3.00e+20 |
J 56.77272, -30.39748| 0.011 | 0.011    | 9.62e+19 | 9.88e+19 | 2.86e+18 | 2.94e+18 | 9.91e+19 | 1.02e+20 |
J 57.34662, -11.99091| 0.052 | 0.051    | 3.09e+20 | 3.05e+20 | 5.59e+19 | 5.37e+19 | 3.65e+20 | 3.58e+20 |
J 57.59578, -50.30261| 0.011 | 0.010    | 1.20e+20 | 1.16e+20 | 3.58e+18 | 3.37e+18 | 1.24e+20 | 1.20e+20 |
J 57.92375, -40.46646| 0.012 | 0.012    | 2.41e+20 | 2.45e+20 | 8.42e+18 | 8.67e+18 | 2.49e+20 | 2.54e+20 |
J 58.23951, -68.52141| 0.080 | 0.086    | 6.12e+20 | 6.32e+20 | 1.79e+20 | 1.99e+20 | 7.92e+20 | 8.31e+20 |
J 58.42696, 37.23546| 0.621 | 0.635    | 1.70e+21 | 1.68e+21 | 1.39e+21 | 1.39e+21 | 3.09e+21 | 3.08e+21 |
J 58.53943, 2.82517 | 0.286 | 0.288    | 1.26e+21 | 1.28e+21 | 9.70e+20 | 9.85e+20 | 2.23e+21 | 2.27e+21 |
J 59.08319, -62.86089| 0.043 | 0.043    | 3.10e+20 | 3.06e+20 | 4.58e+19 | 4.47e+19 | 3.56e+20 | 3.51e+20 |
J 59.23553, -40.69608| 0.009 | 0.009    | 1.85e+20 | 1.86e+20 | 4.89e+18 | 4.85e+18 | 1.90e+20 | 1.91e+20 |
J 59.43806, 41.91812| 0.750 | 0.765    | 2.98e+21 | 3.02e+21 | 1.44e+21 | 1.44e+21 | 4.42e+21 | 4.45e+21 |
J 59.83540, -30.20269| 0.009 | 0.009    | 9.99e+19 | 9.49e+19 | 2.38e+18 | 2.19e+18 | 1.02e+20 | 9.71e+19 |
J 59.78680, -30.30294| 0.009 | 0.009    | 9.90e+19 | 9.45e+19 | 2.34e+18 | 2.15e+18 | 1.01e+20 | 9.67e+19 |
J 59.87392, 50.96396| 1.686 | 1.581    | 6.93e+21 | 6.92e+21 | 1.44e+21 | 1.44e+21 | 8.37e+21 | 8.36e+21 |
J 60.60701, -18.04758| 0.028 | 0.027    | 1.64e+20 | 1.60e+20 | 1.43e+19 | 1.37e+19 | 1.78e+20 | 1.74e+20 |
J 60.97395, -36.08386| 0.004 | 0.004    | 6.64e+19 | 6.03e+19 | 7.07e+17 | 6.33e+17 | 6.71e+19 | 6.09e+19 |
J 61.25709, -37.18758| 0.004 | 0.004    | 6.59e+19 | 6.33e+19 | 6.84e+17 | 6.16e+17 | 6.66e+19 | 6.39e+19 |
J 61.39168, -13.13713| 0.059 | 0.059    | 3.89e+20 | 3.98e+20 | 8.17e+19 | 8.36e+19 | 4.70e+20 | 4.82e+20 |
J 61.81863, 3.70718 | 0.359 | 0.365    | 1.15e+21 | 1.15e+21 | 1.04e+21 | 1.05e+21 | 2.19e+21 | 2.20e+21 |
J 63.34302, 16.99752| 0.572 | 0.588    | 1.62e+21 | 1.62e+21 | 1.37e+21 | 1.37e+21 | 2.98e+21 | 2.99e+21 |
J 63.41809, 11.20413| 0.580 | 0.577    | 1.52e+21 | 1.52e+21 | 1.36e+21 | 1.36e+21 | 2.87e+21 | 2.88e+21 |
J 63.71942, -7.92770| 0.070 | 0.073    | 5.14e+20 | 5.28e+20 | 1.31e+20 | 1.41e+20 | 6.45e+20 | 6.69e+20 |
J 64.58864, 38.02660| 1.318 | 1.398    | 2.90e+21 | 2.91e+21 | 1.44e+21 | 1.44e+21 | 4.34e+21 | 4.35e+21 |
J 65.00164, -54.93794| 0.010 | 0.009    | 9.19e+19 | 8.61e+19 | 2.36e+18 | 2.09e+18 | 9.43e+19 | 8.82e+19 |
J 65.60026, -56.22563| 0.014 | 0.015    | 1.21e+20 | 1.32e+20 | 4.84e+18 | 5.90e+18 | 1.25e+20 | 1.38e+20 |
J 65.91985, 4.13384 | 0.295 | 0.303    | 1.22e+21 | 1.24e+21 | 9.72e+20 | 9.95e+20 | 2.20e+21 | 2.24e+21 |
J 66.50301, -57.20051| 0.015 | 0.014    | 1.29e+20 | 1.26e+20 | 5.43e+18 | 5.11e+18 | 1.34e+20 | 1.31e+20 |
J 66.75586, -12.05949| 0.051 | 0.051    | 3.66e+20 | 3.48e+20 | 6.61e+19 | 6.17e+19 | 4.32e+20 | 4.10e+20 |
J 67.44758, -67.05552| 0.043 | 0.044    | 3.74e+20 | 3.88e+20 | 5.66e+19 | 5.94e+19 | 4.30e+20 | 4.48e+20 |
J 67.40961, -21.16216| 0.029 | 0.027    | 2.21e+20 | 2.07e+20 | 2.07e+19 | 1.78e+19 | 2.42e+20 | 2.25e+20 |
J 68.29622, 5.35432 | 0.283 | 0.286    | 1.06e+21 | 1.06e+21 | 8.70e+20 | 8.77e+20 | 1.93e+21 | 1.94e+21 |
J 68.36328, -58.72608| 0.015 | 0.015    | 1.27e+20 | 1.25e+20 | 5.49e+18 | 5.43e+18 | 1.33e+20 | 1.31e+20 |
J 69.09289, -10.37609| 0.077 | 0.072    | 4.77e+20 | 4.61e+20 | 1.34e+20 | 1.21e+20 | 6.12e+20 | 5.82e+20 |
J 69.36732, -47.19151| 0.010 | 0.010    | 1.03e+20 | 1.02e+20 | 2.74e+18 | 2.64e+18 | 1.06e+20 | 1.05e+20 |
J 69.55912, -10.79585| 0.078 | 0.076    | 4.50e+20 | 4.40e+20 | 1.27e+20 | 1.21e+20 | 5.77e+20 | 5.62e+20 |
J 69.99600, -59.68159| 0.022 | 0.022    | 1.69e+20 | 1.74e+20 | 1.15e+19 | 1.19e+19 | 1.81e+20 | 1.86e+20 |
J 70.19878, 27.66303| 0.832 | 0.773    | 1.71e+21 | 1.71e+21 | 1.43e+21 | 1.42e+21 | 3.14e+21 | 3.14e+21 |
J 70.34389, -27.13869| 0.037 | 0.037    | 2.51e+20 | 2.59e+20 | 3.05e+19 | 3.24e+19 | 2.82e+20 | 2.92e+20 |
