Position|E(B-V)_Mean|E(B-V)_Weighted|NHI_Mean|NHI_Weighted|NH2_Mean|NH2_Weighted|NHtot_Mean|NHtot_Weighted|
J 317.38281, 35.54934| 0.167 | 0.163    | 1.29e+21 | 1.26e+21 | 6.90e+20 | 6.66e+20 | 1.98e+21 | 1.93e+21 |
J 318.50478, 82.08009| 0.161 | 0.164    | 6.76e+20 | 6.86e+20 | 3.88e+20 | 4.01e+20 | 1.06e+21 | 1.09e+21 |
J 319.04296, 25.28366| 0.113 | 0.112    | 7.38e+20 | 7.35e+20 | 3.05e+20 | 2.99e+20 | 1.04e+21 | 1.03e+21 |
J 319.44876, 51.64911| 3.231 | 3.427    | 1.15e+22 | 1.18e+22 | 1.44e+21 | 1.44e+21 | 1.30e+22 | 1.32e+22 |
J 319.87137, 33.54917| 0.157 | 0.165    | 1.32e+21 | 1.33e+21 | 6.68e+20 | 7.01e+20 | 1.98e+21 | 2.03e+21 |
J 320.93579, 25.07439| 0.130 | 0.131    | 7.91e+20 | 7.77e+20 | 3.71e+20 | 3.66e+20 | 1.16e+21 | 1.14e+21 |
J 321.16398, 50.97385| 2.676 | 2.649    | 9.76e+21 | 1.00e+22 | 1.44e+21 | 1.44e+21 | 1.12e+22 | 1.15e+22 |
J 321.93916, 56.94305| 1.532 | 1.534    | 7.70e+21 | 7.65e+21 | 1.44e+21 | 1.44e+21 | 9.14e+21 | 9.09e+21 |
J 322.30076, -15.64476| 0.069 | 0.066    | 4.92e+20 | 4.85e+20 | 1.23e+20 | 1.16e+20 | 6.15e+20 | 6.01e+20 |
J 323.00919, -33.71495| 0.070 | 0.064    | 3.79e+20 | 3.52e+20 | 9.46e+19 | 8.01e+19 | 4.73e+20 | 4.32e+20 |
J 323.68807, -27.43208| 0.034 | 0.034    | 2.69e+20 | 2.76e+20 | 3.08e+19 | 3.16e+19 | 3.00e+20 | 3.08e+20 |
J 323.97511, 47.47275| 0.773 | 0.752    | 3.24e+21 | 3.24e+21 | 1.44e+21 | 1.44e+21 | 4.68e+21 | 4.68e+21 |
J 324.09627, -62.40016| 0.034 | 0.034    | 3.06e+20 | 3.05e+20 | 3.55e+19 | 3.51e+19 | 3.42e+20 | 3.40e+20 |
J 324.21964, -64.63438| 0.040 | 0.041    | 3.09e+20 | 3.18e+20 | 4.22e+19 | 4.43e+19 | 3.51e+20 | 3.62e+20 |
J 324.43832, -14.54882| 0.055 | 0.054    | 4.57e+20 | 4.38e+20 | 9.04e+19 | 8.42e+19 | 5.47e+20 | 5.23e+20 |
J 324.63930, 32.08494| 0.157 | 0.156    | 1.07e+21 | 1.06e+21 | 5.67e+20 | 5.60e+20 | 1.64e+21 | 1.62e+21 |
J 324.93734, 59.83752| 1.122 | 1.099    | 5.78e+21 | 5.68e+21 | 1.44e+21 | 1.44e+21 | 7.22e+21 | 7.12e+21 |
J 326.38673, 11.04863| 0.078 | 0.074    | 5.09e+20 | 5.11e+20 | 1.44e+20 | 1.38e+20 | 6.53e+20 | 6.49e+20 |
J 327.02275, 6.96073| 0.067 | 0.069    | 4.46e+20 | 4.46e+20 | 1.09e+20 | 1.11e+20 | 5.55e+20 | 5.56e+20 |
J 327.08137, -34.95125| 0.029 | 0.029    | 1.94e+20 | 1.93e+20 | 1.82e+19 | 1.82e+19 | 2.12e+20 | 2.11e+20 |
J 327.49196, -18.98995| 0.035 | 0.034    | 2.96e+20 | 2.92e+20 | 3.47e+19 | 3.34e+19 | 3.31e+20 | 3.26e+20 |
J 327.98135, -30.46487| 0.026 | 0.026    | 1.61e+20 | 1.63e+20 | 1.29e+19 | 1.32e+19 | 1.74e+20 | 1.76e+20 |
J 329.06347, 17.38127| 0.088 | 0.092    | 5.75e+20 | 5.81e+20 | 1.86e+20 | 1.95e+20 | 7.61e+20 | 7.76e+20 |
J 329.27494, -69.68991| 0.030 | 0.030    | 2.67e+20 | 2.64e+20 | 2.65e+19 | 2.63e+19 | 2.93e+20 | 2.90e+20 |
J 329.36160, -6.17156| 0.035 | 0.033    | 2.88e+20 | 2.73e+20 | 3.42e+19 | 3.03e+19 | 3.22e+20 | 3.04e+20 |
J 330.17229, 10.55224| 0.063 | 0.059    | 4.55e+20 | 4.30e+20 | 1.03e+20 | 9.11e+19 | 5.59e+20 | 5.21e+20 |
J 330.43140, 50.81570| 0.578 | 0.548    | 3.83e+21 | 3.69e+21 | 1.44e+21 | 1.44e+21 | 5.27e+21 | 5.12e+21 |
J 330.50789, -31.86959| 0.027 | 0.027    | 1.90e+20 | 1.95e+20 | 1.61e+19 | 1.65e+19 | 2.06e+20 | 2.12e+20 |
J 330.68039, 42.27775| 0.305 | 0.316    | 1.83e+21 | 1.73e+21 | 1.20e+21 | 1.19e+21 | 3.03e+21 | 2.92e+21 |
J 330.81242, 31.76064| 0.113 | 0.112    | 8.47e+20 | 8.54e+20 | 3.45e+20 | 3.47e+20 | 1.19e+21 | 1.20e+21 |
J 331.07985, 3.56422| 0.043 | 0.043    | 3.96e+20 | 4.02e+20 | 5.92e+19 | 6.07e+19 | 4.55e+20 | 4.62e+20 |
J 331.75831, 10.23364| 0.066 | 0.065    | 5.02e+20 | 5.12e+20 | 1.20e+20 | 1.21e+20 | 6.22e+20 | 6.33e+20 |
J 332.28195, -27.80947| 0.022 | 0.021    | 1.63e+20 | 1.67e+20 | 1.08e+19 | 1.06e+19 | 1.74e+20 | 1.77e+20 |
J 332.31755, -47.16670| 0.016 | 0.016    | 1.08e+20 | 1.06e+20 | 4.87e+18 | 4.70e+18 | 1.12e+20 | 1.11e+20 |
J 332.97453, 18.69719| 0.051 | 0.051    | 4.34e+20 | 4.32e+20 | 7.85e+19 | 7.84e+19 | 5.13e+20 | 5.11e+20 |
J 333.53826, -25.96373| 0.023 | 0.022    | 1.79e+20 | 1.74e+20 | 1.29e+19 | 1.20e+19 | 1.92e+20 | 1.86e+20 |
J 334.30111, 14.23914| 0.064 | 0.066    | 4.65e+20 | 4.65e+20 | 1.08e+20 | 1.11e+20 | 5.72e+20 | 5.76e+20 |
J 334.95730, 26.22444| 0.083 | 0.087    | 6.47e+20 | 6.64e+20 | 1.97e+20 | 2.11e+20 | 8.45e+20 | 8.74e+20 |
J 335.93757, 11.83588| 0.085 | 0.086    | 5.31e+20 | 5.37e+20 | 1.66e+20 | 1.68e+20 | 6.97e+20 | 7.05e+20 |
J 335.95642, -2.10357| 0.072 | 0.074    | 4.51e+20 | 4.49e+20 | 1.18e+20 | 1.21e+20 | 5.70e+20 | 5.70e+20 |
J 336.77405, 36.36158| 0.115 | 0.113    | 9.43e+20 | 9.28e+20 | 3.89e+20 | 3.77e+20 | 1.33e+21 | 1.30e+21 |
J 337.30775, 66.78097| 1.116 | 1.032    | 4.84e+21 | 4.81e+21 | 1.44e+21 | 1.44e+21 | 6.28e+21 | 6.25e+21 |
J 337.41702, -8.54845| 0.051 | 0.051    | 4.21e+20 | 4.20e+20 | 7.55e+19 | 7.68e+19 | 4.97e+20 | 4.97e+20 |
J 338.15171, 11.73080| 0.070 | 0.067    | 5.27e+20 | 5.35e+20 | 1.33e+20 | 1.29e+20 | 6.60e+20 | 6.64e+20 |
J 338.70762, -25.67695| 0.021 | 0.021    | 1.49e+20 | 1.45e+20 | 9.38e+18 | 9.02e+18 | 1.59e+20 | 1.54e+20 |
J 338.94251, -26.05044| 0.020 | 0.020    | 1.49e+20 | 1.50e+20 | 9.06e+18 | 9.01e+18 | 1.58e+20 | 1.59e+20 |
J 339.01492, 33.97584| 0.079 | 0.079    | 6.34e+20 | 6.15e+20 | 1.84e+20 | 1.79e+20 | 8.19e+20 | 7.94e+20 |
