|name                       |ra        |dec      |time               |obsid      |status   |exposure_a|observation_mode|public_date|issue_flag|end_time           |_Search_Offset                  |
|S50014p81                  |00 16 06.7|+81 34 24|2014-12-21 16:31:07|60001098001|archived |       375|SCIENCE         | 2015-09-17|         0|2014-12-21 16:46:07|     2.381 (4.2854197,81.585596)|
|S5_0014p81                 |00 17 52.8|+81 34 09|2016-04-11 23:51:08|90201019001|archived |       190|SCIENCE         | 2016-10-20|         0|2016-04-12 00:36:08|     1.899 (4.2854197,81.585596)|
|2MASXJ00210753m1910056     |00 21 07.5|-19 10 05|                   |60160010   |accepted |    -20000|                |           |          |                   |    0.005 (5.2814076,-19.168191)|
|2MASXJ00253292p6821442     |00 25 04.6|+68 21 52|2019-10-22 18:11:09|60510003002|archived |     29489|SCIENCE         | 2020-12-11|         0|2019-10-23 10:11:09|    2.567 (6.3850302,68.3624394)|
|IGRJ00256p6821             |00 25 48.4|+68 20 38|2014-04-11 03:51:07|60061003002|archived |     26014|SCIENCE         | 2015-03-31|         0|2014-04-11 12:21:07|    1.844 (6.3850302,68.3624394)|
|IGRJ00256p6821             |00 25 49.2|+68 20 26|2014-04-11 03:16:07|60061003001|archived |       241|SCIENCE         | 2015-03-31|         0|2014-04-11 03:51:07|    2.036 (6.3850302,68.3624394)|
|2MASXJ00264073m5309479     |00 26 40.7|-53 09 48|                   |60160012   |accepted |    -20000|                |           |          |                   |    0.005 (6.6694697,-53.163275)|
|PG0026p129                 |00 29 08.6|+13 13 53|2021-01-03 03:16:09|60663003002|archived |    147374|SCIENCE         | 2022-01-11|         0|2021-01-06 11:46:09|     2.500 (7.3070965,13.267761)|
|ESO112_G006                |00 30 49.8|-59 02 05|2019-11-06 12:36:09|60561038002|archived |     56001|SCIENCE         | 2020-11-16|         0|2019-11-07 18:56:09|    1.817 (7.6826262,-59.007215)|
|2MASXJ00331831p6127433     |00 33 09.6|+61 26 03|2023-12-18 18:51:09|60160014002|archived |     23110|SCIENCE         | 2023-12-25|         0|2023-12-19 05:41:09|    1.971 (8.3264422,61.4620153)|
|2MASXJ00341665m7905204     |00 33 45.0|-79 04 00|2016-03-28 19:01:08|60160015002|archived |     22665|SCIENCE         | 2016-04-01|         0|2016-03-29 02:11:08|    2.011 (8.5700402,-79.088963)|
|2MASXJ00341665m7905204     |00 33 53.0|-79 03 49|2016-03-28 18:21:08|60160015001|archived |       340|SCIENCE         | 2016-04-01|         0|2016-03-28 19:01:08|    1.895 (8.5700402,-79.088963)|
|2MASX_J00343284            |00 34 39.8|-04 21 18|2022-07-21 18:06:09|60860006002|archived |     20714|SCIENCE         | 2023-02-01|         1|2022-07-22 05:06:09|     3.401 (8.636619,-4.4034229)|
|1ES_0033p595               |00 35 52.6|+59 50 04|                   |81001633   |accepted |          |                |           |          |                   |    0.010 (8.9693118,59.8345373)|
|QSOB0033p595               |00 35 56.5|+59 47 15|2023-02-23 02:51:09|60160017002|archived |     23280|SCIENCE         | 2023-03-06|         0|2023-02-23 13:51:09|    2.864 (8.9693118,59.8345373)|
|CGCG535m012                |00 36 21.0|+45 39 54|                   |60160018   |accepted |    -20000|                |           |          |                   |    0.008 (9.0872635,45.6648997)|
|Mrk344                     |00 38 32.1|+23 36 48|                   |60161019   |accepted |    -20000|                |           |          |                   |    0.008 (9.6338116,23.6134076)|
|SWIFTJ004039d9p244539      |00 40 39.8|+24 45 39|                   |60464002   |accepted |    -20000|                |           |          |                   |   0.022 (10.1661783,24.7609374)|
|NGC235A                    |00 42 52.8|-23 32 27|                   |60061004   |accepted |    -20000|                |           |          |                   |   0.009 (10.7200423,-23.541046)|
|2MASXJ00430184p3017195     |00 43 01.9|+30 17 20|                   |60161022   |accepted |    -20000|                |           |          |                   |   0.003 (10.7578514,30.2887771)|
|2MASXJ00423991p3017515     |00 42 39.9|+30 17 51|                   |60160023   |accepted |    -20000|                |           |          |                   |   4.772 (10.7578514,30.2887771)|
|2MASXJ00430184p3017195     |00 43 01.9|+30 17 20|                   |60161022   |accepted |    -20000|                |           |          |                   |   4.770 (10.6662872,30.2976209)|
|2MASXJ00423991p3017515     |00 42 39.9|+30 17 51|                   |60160023   |accepted |    -20000|                |           |          |                   |   0.001 (10.6662872,30.2976209)|
|MCGm02m02m095              |00 43 08.8|-11 36 03|                   |60160024   |accepted |    -20000|                |           |          |                   |   0.010 (10.7865818,-11.601037)|
|ESP39607                   |00 46 19.0|-40 02 40|2023-05-08 08:11:09|60860001002|archived |     21227|SCIENCE         | 2023-11-15|         0|2023-05-08 21:01:09|   3.175 (11.5861961,-40.097039)|
|ESP39607                   |00 46 16.8|-40 03 02|2023-05-08 07:41:09|60860001001|archived |       466|SCIENCE         | 2023-11-15|         0|2023-05-08 08:11:09|   2.890 (11.5861961,-40.097039)|
|MRK_348                    |00 48 43.2|+31 54 16|2022-02-06 22:01:09|60701017002|archived |    104812|SCIENCE         | 2023-02-14|         0|2022-02-09 07:01:09|   3.261 (12.1964231,31.9569703)|
|Mrk348                     |00 48 36.0|+31 56 43|2015-10-28 06:56:08|60160026002|archived |     21519|SCIENCE         | 2015-11-04|         0|2015-10-28 17:51:08|   2.467 (12.1964231,31.9569703)|
|MCGp05m03m013              |00 51 29.2|+29 21 50|2020-12-22 14:11:09|60160027002|archived |     21562|SCIENCE         | 2021-01-11|         0|2020-12-23 02:16:09|   2.578 (12.8959113,29.4012876)|
