Results from heasarc_numaster: NuSTAR Master Catalog
Coordinate system:  Equatorial
|name                   |ra        |dec      |time               |obsid      |status   |exposure_a|observation_mode|obs_type|processing_date    |public_date|issue_flag|_Search_Offset                |
|NGC235A                |00 42 52.8|-23 32 27|                   |60061004   |accepted |    -20000|                |EGS     |                   |           |          |     0.008 (SWIFTJ0042.9-2332)|
|MCGp05m03m013          |00 51 29.2|+29 21 50|2020-12-22 14:11:09|60160027002|archived |     21562|SCIENCE         |EGS     |2020-12-24 06:19:27| 2021-01-11|         0|     2.579 (SWIFTJ0051.6+2928)|
|Mrk1148                |00 51 52.9|+17 24 38|2018-01-14 14:41:09|60160028002|archived |     22087|SCIENCE         |EGS     |2020-08-19 01:04:14| 2018-01-29|         0|     1.411 (SWIFTJ0051.9+1724)|
|PG0052p251             |00 54 50.8|+25 27 46|2020-08-21 16:06:09|60661001002|archived |     24392|SCIENCE         |N06     |2020-08-24 20:42:58| 2021-08-31|         0|     2.140 (SWIFTJ0054.9+2524)|
|Mrk352                 |00 59 59.6|+31 52 33|2022-08-04 02:21:09|60160031002|archived |     19225|SCIENCE         |EGS     |2022-08-05 02:39:44| 2022-08-15|         0|     3.224 (SWIFTJ0059.4+3150)|
|2MASXJ01012440m0308399 |01 01 22.1|-03 10 05|2018-01-08 12:06:09|60160033002|archived |     21453|SCIENCE         |EGS     |2020-08-19 04:31:47| 2018-01-29|         0|     1.526 (SWIFTJ0101.5-0308)|
|2MASXJ01053882m1416133 |01 05 38.8|-14 16 13|                   |60160037   |accepted |    -20000|                |EGS     |                   |           |          |     0.009 (SWIFTJ0105.7-1414)|
|Mrk975                 |01 13 54.7|+13 18 50|2022-08-07 18:41:09|60160046002|archived |     22147|SCIENCE         |EGS     |2022-08-09 01:37:14| 2022-08-15|         1|     2.675 (SWIFTJ0113.8+1313)|
|HB89_0119m286          |01 21 51.5|-28 20 57|                   |60160052   |accepted |    -20000|                |EGS     |                   |           |          |     0.017 (SWIFTJ0122.0-2818)|
|NGC526A                |01 23 54.4|-35 03 55|                   |60160055   |accepted |    -20000|                |EGS     |                   |           |          |     0.011 (SWIFTJ0123.8-3504)|
