Results from heasarc_chanmaster: Chandra Observations
Coordinate system:  Equatorial
|obsid|status     |name                                  |ra         |dec        |time               |detector|grating|exposure|type|pi              |public_date|_Search_Offset             |
|22037|archived   |2MASXJ05325752+1345092                |05 32 57.51|+13 45 09.0|2019-01-06 01:19:34|ACIS-S  |NONE   |   10090|CCT |Koss            | 2019-01-07|  0.003 (SWIFTJ0532.9+1343)|
|23694|archived   |WISEAJ053532.12+401115.8              |05 35 32.12|+40 11 15.6|2020-11-13 01:48:57|ACIS-S  |NONE   |    3230|GO  |Foord           | 2021-11-13|  0.002 (SWIFTJ0535.4+4013)|
|14039|archived   |SWIFT J0543.9-2749                    |05 43 47.30|-27 39 03.6|2012-06-20 07:21:55|ACIS-I  |NONE   |    5090|GO  |Ajello          | 2013-06-21|  3.176 (SWIFTJ0543.9-2749)|
|13200|archived   |MCG 8-11-11                           |05 54 53.60|+46 26 21.8|2010-12-10 16:21:14|ACIS-S  |HETG   |   70050|GO  |Murphy          | 2011-12-13|  0.003 (SWIFTJ0554.8+4625)|
|12861|archived   |MCG 8-11-11                           |05 54 53.60|+46 26 21.8|2010-12-07 10:22:51|ACIS-S  |HETG   |   50050|GO  |Murphy          | 2011-12-13|  0.003 (SWIFTJ0554.8+4625)|
|12864|archived   |IRAS 05589+2828                       |06 02 10.80|+28 28 22.8|2011-01-16 06:56:02|ACIS-S  |NONE   |   16010|GO  |Mushotzky       | 2012-01-18|  0.092 (SWIFTJ0602.2+2829)|
|12867|archived   |ESO 490-IG026                         |06 40 11.80|-25 53 42.0|2011-08-13 10:46:09|ACIS-S  |NONE   |   10010|GO  |Mushotzky       | 2012-08-15|  0.030 (SWIFTJ0640.4-2554)|
|10324|archived   |MKN 6                                 |06 52 12.30|+74 25 36.8|2009-07-12 13:11:49|ACIS-S  |NONE   |   75030|GO  |Croston         | 2010-07-16|  0.006 (SWIFTJ0651.9+7426)|
|19317|archived   |NGC2258                               |06 47 45.80|+74 28 54.0|2017-05-06 10:05:14|ACIS-S  |NONE   |    7760|GO  |Goulding        | 2018-05-08| 18.157 (SWIFTJ0651.9+7426)|
|22041|archived   |UGC3601                               |06 55 49.53|+40 00 01.2|2019-01-06 04:43:37|ACIS-S  |NONE   |    9960|CCT |Koss            | 2019-01-07|  0.001 (SWIFTJ0655.8+3957)|
| 3560|archived   |FIRST J072518.2+370518                |07 25 18.30|+37 05 17.9|2002-12-17 02:51:49|ACIS-S  |NONE   |    4950|GTO |Garmire         | 2003-12-18| 16.247 (SWIFTJ0726.5+3659)|
| 9165|archived   |SWIFT J0727.5-2406                    |07 27 34.80|-24 06 14.0|2007-12-27 15:03:19|ACIS-I  |NONE   |    5140|GTO |Predehl         | 2008-12-28|  3.152 (SWIFTJ0727.4-2408)|
|18164|archived   |2MASSi J0733092+455506                |07 33 09.20|+45 55 06.2|2015-12-25 08:07:32|ACIS-S  |NONE   |   10060|GO  |Koss            | 2016-12-25|  0.001 (SWIFTJ0733.2+4558)|
|18226|archived   |2MASX J07524421+4556576               |07 52 44.20|+45 56 57.4|2015-12-20 04:07:03|ACIS-S  |NONE   |    8040|GO  |Wong            | 2016-12-21|  0.001 (SWIFTJ0753.1+4559)|
| 6272|archived   |IGR J07563-4137                       |07 56 16.80|-41 38 06.0|2005-06-16 04:33:11|ACIS-I  |NONE   |    3260|DDT |Sunyaev         | 2005-06-17|  0.663 (SWIFTJ0756.3-4137)|
|23234|archived   |SDSS J082905.98+420204.3              |08 29 05.99|+42 02 04.3|2020-05-03 15:08:18|ACIS-S  |NONE   |   29770|TOO |Green           | 2021-05-04| 10.105 (SWIFTJ0830.1+4154)|
|22550|archived   |SDSS J082905.98+420204.3              |08 29 05.99|+42 02 04.3|2020-04-28 05:44:18|ACIS-S  |NONE   |   17950|TOO |Green           | 2021-05-04| 10.105 (SWIFTJ0830.1+4154)|
|17180|archived   |1RXS J082814.5+415359                 |08 28 14.20|+41 53 51.9|2015-12-20 12:42:43|ACIS-I  |NONE   |   16650|GO  |Donahue         | 2016-12-21| 16.480 (SWIFTJ0830.1+4154)|
|23647|archived   |NuSTAR J083846-3602.5                 |08 38 46.20|-36 02 30.7|2021-07-24 09:37:40|ACIS-S  |NONE   |   20950|GO  |Tomsick         | 2022-07-25|  4.297 (SWIFTJ0838.4-3557)|
|22091|archived   |SDSSJ084205.57+075925.5               |08 42 05.57|+07 59 25.5|2019-02-10 15:04:43|ACIS-S  |NONE   |    9970|CCT |Koss            | 2019-02-11|  0.000 (SWIFTJ0842.0+0759)|
|23139|archived   |RMJ084114.3+075843.6                  |08 41 14.28|+07 58 43.6|2020-02-01 08:49:14|ACIS-I  |NONE   |    9910|CCT |Sun             | 2020-02-11| 12.719 (SWIFTJ0842.0+0759)|
|20281|archived   |PSR J0846-3533                        |08 46 06.00|-35 33 40.7|2018-05-28 14:25:01|ACIS-S  |NONE   |    3560|GO  |Gotthelf        | 2019-05-29|  9.652 (SWIFTJ0845.0-3531)|
| 7525|archived   |IGR J09026-4812                       |09 02 33.10|-48 11 45.6|2007-02-05 00:20:34|ACIS-S  |NONE   |    4750|GO  |Tomsick         | 2008-02-05|  1.937 (SWIFTJ0902.7-4814)|
|12865|archived   |2MASX J09043699+5536025               |09 04 37.00|+55 36 03.6|2012-01-11 19:51:02|ACIS-S  |NONE   |   20010|GO  |Mushotzky       | 2013-01-17|  0.017 (SWIFTJ0904.3+5538)|
|23714|archived   |MCG3-24-043                           |09 18 26.00|+16 18 19.6|2021-04-23 03:47:21|ACIS-S  |NONE   |    2070|GO  |Foord           | 2022-04-23|  0.001 (SWIFTJ0918.5+1618)|
| 5838|archived   |ClG J0926+1242                        |09 26 36.60|+12 42 59.0|2005-02-21 06:17:57|ACIS-I  |NONE   |   31770|GTO |Murray          | 2006-02-24|  8.199 (SWIFTJ0926.2+1244)|
| 4914|archived   |Mrk 705                               |09 26 03.30|+12 44 04.0|2004-03-18 10:01:21|ACIS-S  |HETG   |   21260|GTO |Predehl         | 2005-03-23|  0.009 (SWIFTJ0926.2+1244)|
| 4929|archived   |ClG J0926+1242                        |09 26 36.60|+12 42 56.0|2004-02-06 01:42:50|ACIS-I  |NONE   |   18870|GTO |Murray          | 2005-02-10|  8.206 (SWIFTJ0926.2+1244)|
| 6842|archived   |3C227                                 |09 47 37.90|+07 24 57.5|2006-01-15 09:08:23|ACIS-S  |NONE   |   30170|GO  |Hardcastle      | 2007-01-17|  1.836 (SWIFTJ0947.7+0726)|
| 7265|archived   |3C227                                 |09 47 37.90|+07 24 57.5|2006-01-11 02:13:08|ACIS-S  |NONE   |   20110|GO  |Hardcastle      | 2007-01-17|  1.836 (SWIFTJ0947.7+0726)|
|18047|archived   |M81                                   |09 56 44.90|+69 06 33.0|2016-07-04 14:36:06|ACIS-I  |NONE   |  101760|GO  |Swartz          | 2018-01-12|  6.921 (SWIFTJ0955.5+6907)|
| 5601|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-07-19 14:24:59|ACIS-S  |HETG   |   84130|GTO |Canizares       | 2006-08-24|  0.003 (SWIFTJ0955.5+6907)|
|12301|archived   |SN 1993J                              |09 55 24.80|+69 01 13.7|2010-08-18 13:52:07|ACIS-S  |NONE   |   79050|GO  |Dwarkadas       | 2011-08-20|  2.792 (SWIFTJ0955.5+6907)|
|18048|archived   |M81                                   |09 56 44.90|+69 06 33.0|2017-01-08 10:29:32|ACIS-I  |NONE   |   70060|GO  |Swartz          | 2018-01-12|  6.921 (SWIFTJ0955.5+6907)|
|19982|archived   |M81                                   |09 54 12.70|+69 01 36.8|2017-01-12 06:03:53|ACIS-I  |NONE   |   68380|GO  |Swartz          | 2018-01-16|  7.555 (SWIFTJ0955.5+6907)|
|18054|archived   |M81                                   |09 54 12.70|+69 01 36.8|2016-06-21 08:35:49|ACIS-I  |NONE   |   66580|GO  |Swartz          | 2018-01-16|  7.555 (SWIFTJ0955.5+6907)|
| 6347|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-07-14 19:25:05|ACIS-S  |HETG   |   64690|GTO |Canizares       | 2006-08-24|  0.003 (SWIFTJ0955.5+6907)|
|19688|archived   |M81                                   |09 54 25.40|+69 14 46.4|2016-08-16 12:42:30|ACIS-I  |NONE   |   63870|GO  |Swartz          | 2018-02-07| 12.417 (SWIFTJ0955.5+6907)|
| 6346|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-07-14 01:43:51|ACIS-S  |HETG   |   55180|GTO |Canizares       | 2006-08-24|  0.003 (SWIFTJ0955.5+6907)|
|18050|archived   |M81                                   |09 54 25.40|+69 14 46.4|2017-01-24 17:42:50|ACIS-I  |NONE   |   54770|GO  |Swartz          | 2018-02-07| 12.417 (SWIFTJ0955.5+6907)|
|19991|archived   |M81                                   |09 54 25.40|+69 14 46.4|2017-01-29 13:45:44|ACIS-I  |NONE   |   54060|GO  |Swartz          | 2018-02-07| 12.417 (SWIFTJ0955.5+6907)|
|  735|archived   |SN 1993J                              |09 55 25.00|+69 01 12.0|2000-05-07 05:31:17|ACIS-S  |NONE   |   50560|GO  |Swartz          | 2001-05-24|  2.814 (SWIFTJ0955.5+6907)|
| 6174|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-02-24 06:55:55|ACIS-S  |HETG   |   45180|GTO |Canizares       | 2006-08-24|  0.003 (SWIFTJ0955.5+6907)|
|21384|archived   |CXO J095524.2+690957                  |09 55 24.20|+69 09 57.0|2019-09-04 21:13:33|ACIS-I  |NONE   |   42530|GO  |Irwin           | 2020-09-10|  6.085 (SWIFTJ0955.5+6907)|
|18817|archived   |M81                                   |09 56 03.80|+68 53 08.5|2016-08-07 23:28:52|ACIS-I  |NONE   |   40070|GO  |Swartz          | 2018-02-07| 11.121 (SWIFTJ0955.5+6907)|
|19685|archived   |M81                                   |09 56 03.80|+68 53 08.5|2016-08-08 16:32:46|ACIS-I  |NONE   |   37070|GO  |Swartz          | 2018-02-07| 11.121 (SWIFTJ0955.5+6907)|
|18051|archived   |M81                                   |09 56 03.80|+68 53 08.5|2017-01-24 06:52:36|ACIS-I  |NONE   |   37060|GO  |Swartz          | 2018-02-07| 11.121 (SWIFTJ0955.5+6907)|
| 5600|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-08-14 09:50:43|ACIS-S  |HETG   |   36420|GTO |Canizares       | 2006-08-24|  0.003 (SWIFTJ0955.5+6907)|
|19992|archived   |M81                                   |09 56 03.80|+68 53 08.5|2017-01-28 04:05:58|ACIS-I  |NONE   |   35060|GO  |Swartz          | 2018-02-07| 11.121 (SWIFTJ0955.5+6907)|
|18875|archived   |M81                                   |09 54 12.70|+69 01 36.8|2016-06-24 15:20:01|ACIS-I  |NONE   |   32790|GO  |Swartz          | 2018-01-16|  7.555 (SWIFTJ0955.5+6907)|
|23544|archived   |FRB 20200120E                         |09 57 56.40|+68 49 04.8|2020-12-16 01:01:26|HRC-S   |NONE   |   30840|TOO |Scholz          | 2021-12-21| 19.639 (SWIFTJ0955.5+6907)|
|19981|archived   |M81                                   |09 56 44.90|+69 06 33.0|2017-01-11 12:17:36|ACIS-I  |NONE   |   30050|GO  |Swartz          | 2018-01-12|  6.921 (SWIFTJ0955.5+6907)|
|18053|archived   |M81                                   |09 54 12.70|+69 01 36.8|2017-01-15 06:51:23|ACIS-I  |NONE   |   29980|GO  |Swartz          | 2018-01-16|  7.555 (SWIFTJ0955.5+6907)|
| 9540|archived   |Holmberg IX                           |09 57 32.00|+69 02 45.0|2008-08-24 09:50:36|ACIS-S  |NONE   |   26050|GO  |Jenkins         | 2009-08-25| 10.683 (SWIFTJ0955.5+6907)|
|19993|archived   |M81                                   |09 56 03.80|+68 53 08.5|2017-01-26 21:51:04|ACIS-I  |NONE   |   25080|GO  |Swartz          | 2018-02-07| 11.121 (SWIFTJ0955.5+6907)|
|24894|archived   |FRB 20200120E                         |09 57 56.40|+68 49 04.8|2020-12-17 02:15:56|HRC-S   |NONE   |   24170|TOO |Scholz          | 2021-12-21| 19.639 (SWIFTJ0955.5+6907)|
|18052|archived   |M81                                   |09 56 03.80|+68 53 08.5|2016-02-01 09:51:24|ACIS-I  |NONE   |   20470|GO  |Swartz          | 2018-02-07| 11.121 (SWIFTJ0955.5+6907)|
|18049|archived   |M81                                   |09 54 25.40|+69 14 46.4|2016-08-15 01:37:50|ACIS-I  |NONE   |   20210|GO  |Swartz          | 2018-02-07| 12.417 (SWIFTJ0955.5+6907)|
| 3786|archived   |1E0953.8+6918                         |09 57 53.00|+69 03 51.0|2002-12-28 19:13:20|ACIS-S  |NONE   |   15990|GO  |Slane           | 2004-01-07| 12.491 (SWIFTJ0955.5+6907)|
| 3787|archived   |1E0953.8+6918                         |09 57 53.00|+69 03 51.0|2003-06-09 02:51:46|ACIS-S  |NONE   |   15330|GO  |Slane           | 2004-06-13| 12.491 (SWIFTJ0955.5+6907)|
| 6899|archived   |M81                                   |09 55 33.20|+69 03 55.1|2006-07-13 13:40:29|ACIS-S  |HETG   |   15130|GO  |Miller          | 2007-07-14|  0.003 (SWIFTJ0955.5+6907)|
|13728|archived   |Holmberg IX X-1                       |09 57 53.30|+69 03 48.1|2012-07-20 03:47:53|ACIS-S  |NONE   |   15070|GO  |Grise           | 2013-07-20| 12.518 (SWIFTJ0955.5+6907)|
| 6892|archived   |M81                                   |09 55 33.20|+69 03 55.1|2006-02-08 20:20:10|ACIS-S  |HETG   |   14950|GO  |Miller          | 2007-02-09|  0.003 (SWIFTJ0955.5+6907)|
| 6893|archived   |M81                                   |09 55 33.20|+69 03 55.1|2006-03-05 23:41:28|ACIS-S  |HETG   |   14950|GO  |Miller          | 2007-03-06|  0.003 (SWIFTJ0955.5+6907)|
| 6894|archived   |M81                                   |09 55 33.20|+69 03 55.1|2006-04-01 10:37:17|ACIS-S  |HETG   |   14950|GO  |Miller          | 2007-04-03|  0.003 (SWIFTJ0955.5+6907)|
| 6896|archived   |M81                                   |09 55 33.20|+69 03 55.1|2006-05-14 12:59:59|ACIS-S  |HETG   |   14950|GO  |Miller          | 2007-05-16|  0.003 (SWIFTJ0955.5+6907)|
| 6901|archived   |M81                                   |09 55 33.20|+69 03 55.1|2006-08-12 16:14:42|ACIS-S  |HETG   |   14950|GO  |Miller          | 2007-08-13|  0.003 (SWIFTJ0955.5+6907)|
|20624|archived   |M81                                   |09 55 33.20|+69 03 55.1|2017-12-21 11:49:42|ACIS-S  |HETG   |   14950|GO  |Barth           | 2019-01-03|  0.003 (SWIFTJ0955.5+6907)|
| 6897|archived   |M81                                   |09 55 33.20|+69 03 55.1|2006-06-09 18:12:58|ACIS-S  |HETG   |   14950|GO  |Miller          | 2007-06-12|  0.003 (SWIFTJ0955.5+6907)|
| 6898|archived   |M81                                   |09 55 33.20|+69 03 55.1|2006-06-28 23:34:56|ACIS-S  |HETG   |   14940|GO  |Miller          | 2007-06-29|  0.003 (SWIFTJ0955.5+6907)|
| 6895|archived   |M81                                   |09 55 33.20|+69 03 55.1|2006-04-24 08:17:47|ACIS-S  |HETG   |   14740|GO  |Miller          | 2007-04-25|  0.003 (SWIFTJ0955.5+6907)|
| 6900|archived   |M81                                   |09 55 33.20|+69 03 55.1|2006-07-28 11:09:15|ACIS-S  |HETG   |   14600|GO  |Miller          | 2007-07-30|  0.003 (SWIFTJ0955.5+6907)|
| 3788|archived   |1E0953.8+6918                         |09 57 53.00|+69 03 51.0|2003-09-03 01:03:25|ACIS-S  |NONE   |   14520|GO  |Slane           | 2004-09-12| 12.491 (SWIFTJ0955.5+6907)|
|14471|archived   |Holmberg IX X-1                       |09 57 53.30|+69 03 48.1|2012-09-24 05:23:30|ACIS-S  |NONE   |   14070|GO  |Grise           | 2013-09-26| 12.518 (SWIFTJ0955.5+6907)|
| 5948|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-07-03 01:33:34|ACIS-S  |NONE   |   12180|GO  |Pooley          | 2006-07-03|  0.003 (SWIFTJ0955.5+6907)|
| 5949|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-07-06 07:49:39|ACIS-S  |NONE   |   12180|GO  |Pooley          | 2006-07-07|  0.003 (SWIFTJ0955.5+6907)|
| 5946|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-06-26 21:42:11|ACIS-S  |NONE   |   12170|GO  |Pooley          | 2006-06-28|  0.003 (SWIFTJ0955.5+6907)|
| 5943|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-06-18 11:33:20|ACIS-S  |NONE   |   12170|GO  |Pooley          | 2006-06-20|  0.003 (SWIFTJ0955.5+6907)|
| 5937|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-06-01 08:31:48|ACIS-S  |NONE   |   12160|GO  |Pooley          | 2006-06-02|  0.003 (SWIFTJ0955.5+6907)|
| 5940|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-06-09 06:53:16|ACIS-S  |NONE   |   12130|GO  |Pooley          | 2006-06-10|  0.003 (SWIFTJ0955.5+6907)|
| 5942|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-06-15 01:27:29|ACIS-S  |NONE   |   12110|GO  |Pooley          | 2006-06-16|  0.003 (SWIFTJ0955.5+6907)|
| 5944|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-06-21 05:19:56|ACIS-S  |NONE   |   11960|GO  |Pooley          | 2006-06-22|  0.003 (SWIFTJ0955.5+6907)|
| 5941|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-06-11 21:22:11|ACIS-S  |NONE   |   11960|GO  |Pooley          | 2006-06-13|  0.003 (SWIFTJ0955.5+6907)|
| 5939|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-06-06 15:16:37|ACIS-S  |NONE   |   11960|GO  |Pooley          | 2006-06-07|  0.003 (SWIFTJ0955.5+6907)|
| 5938|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-06-03 22:48:06|ACIS-S  |NONE   |   11960|GO  |Pooley          | 2006-06-06|  0.003 (SWIFTJ0955.5+6907)|
| 5945|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-06-24 06:04:49|ACIS-S  |NONE   |   11720|GO  |Pooley          | 2006-06-25|  0.003 (SWIFTJ0955.5+6907)|
| 5936|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-05-28 19:54:20|ACIS-S  |NONE   |   11550|GO  |Pooley          | 2006-05-31|  0.003 (SWIFTJ0955.5+6907)|
| 5935|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-05-26 03:46:22|ACIS-S  |NONE   |   11120|GO  |Pooley          | 2006-06-01|  0.003 (SWIFTJ0955.5+6907)|
| 5947|archived   |M81                                   |09 55 33.20|+69 03 55.1|2005-06-29 13:33:37|ACIS-S  |NONE   |   10840|GO  |Pooley          | 2006-06-30|  0.003 (SWIFTJ0955.5+6907)|
|26421|archived   |Swift J095520.7+690400.9              |09 55 20.70|+69 04 00.9|2022-06-04 11:27:37|ACIS-S  |NONE   |   10080|DDT |Brightman       | 2022-06-05|  1.118 (SWIFTJ0955.5+6907)|
| 9122|archived   |SN 1993J                              |09 55 24.80|+69 01 13.7|2008-02-01 00:23:54|ACIS-S  |NONE   |   10040|GO  |Immler          | 2009-02-01|  2.792 (SWIFTJ0955.5+6907)|
| 2706|archived   |1E0953.8+6918                         |09 57 53.00|+69 03 51.0|2002-01-27 09:29:42|HRC-I   |NONE   |    7180|GO  |Slane           | 2003-02-04| 12.491 (SWIFTJ0955.5+6907)|
| 9805|archived   |M81                                   |09 55 26.00|+69 04 34.8|2007-12-21 18:41:10|ACIS-S  |NONE   |    5170|DDT |Jonker          | 2008-03-26|  0.921 (SWIFTJ0955.5+6907)|
| 4752|archived   |M81                                   |09 57 54.30|+69 03 46.4|2004-03-25 10:02:51|ACIS-S  |NONE   |    5150|GO  |Miller          | 2005-04-01| 12.608 (SWIFTJ0955.5+6907)|
| 4751|archived   |M81                                   |09 57 54.30|+69 03 46.4|2004-02-07 10:54:05|ACIS-S  |NONE   |    5080|GO  |Miller          | 2005-02-09| 12.608 (SWIFTJ0955.5+6907)|
|  390|archived   |NGC 3031                              |09 55 33.20|+69 03 55.0|2000-03-21 00:41:43|ACIS-S  |NONE   |    2410|GTO |Garmire         | 2001-04-28|  0.003 (SWIFTJ0955.5+6907)|
| 2938|archived   |M81                                   |09 55 33.05|+69 00 34.9|2002-01-27 11:39:40|HRC-I   |NONE   |    1770|GO  |SUGIHO          | 2003-02-05|  3.336 (SWIFTJ0955.5+6907)|
|18190|archived   |SDSS J100013.14+124226.2              |10 00 13.10|+12 42 26.2|2016-10-11 14:55:21|ACIS-S  |NONE   |   39070|GO  |Pardo           | 2017-10-12| 20.625 (SWIFTJ0959.9+1303)|
|25327|observed   |SDSSJ095937.11+131215.4               |09 59 37.12|+13 12 15.4|2023-01-03 14:15:40|ACIS-S  |NONE   |    9380|GO  |Piconcelli      | 2024-01-04| 10.653 (SWIFTJ0959.9+1303)|
|23735|observed   |PGC1421200                            |09 59 06.67|+13 01 35.3|2022-05-14 01:06:08|ACIS-S  |NONE   |    8040|GO  |Foord           | 2023-05-20| 12.023 (SWIFTJ0959.9+1303)|
|22249|archived   |ESO499-41                             |10 05 55.38|-23 03 24.9|2019-06-06 23:47:11|ACIS-S  |NONE   |   10090|CCT |Koss            | 2019-06-07|  0.001 (SWIFTJ1005.9-2305)|
|18166|archived   |2MASX J10195855-0234363               |10 19 58.60|-02 34 36.1|2016-01-16 09:32:20|ACIS-S  |NONE   |   10070|GO  |Koss            | 2017-01-18| 0.005 (SWIFTJ1020.5-0237B)|
| 2259|archived   |1AXG J103245-1423                     |10 32 45.20|-14 23 44.5|2001-05-31 09:34:54|ACIS-I  |NONE   |    4500|GO  |Ueda            | 2002-06-08| 14.117 (SWIFTJ1031.9-1418)|
|23196|archived   |Mrk728                                |11 01 01.76|+11 02 49.4|2020-03-13 06:08:58|ACIS-S  |NONE   |   10060|CCT |Koss            | 2020-03-13|  0.009 (SWIFTJ1100.9+1104)|
|15078|archived   |CGCG 291-028                          |11 05 59.00|+58 56 45.6|2013-01-28 05:36:16|ACIS-S  |NONE   |   25060|GO  |Farrar          | 2014-01-29| 6.076 (SWIFTJ1105.7+5854B)|
|11287|archived   |[RC2] A1116+51                        |11 19 34.40|+51 30 12.1|2009-11-07 11:13:16|ACIS-S  |NONE   |   11810|GO  |Prestwich       | 2010-11-20|  3.109 (SWIFTJ1119.5+5132)|
|13896|archived   |Mrk 423                               |11 26 48.50|+35 15 03.1|2013-01-20 18:54:47|ACIS-S  |NONE   |   17070|GO  |Mushotzky       | 2014-01-22|  0.002 (SWIFTJ1126.7+3514)|
|16076|archived   |SDSS J112619.43+191329.4              |11 26 19.40|+19 13 29.6|2015-02-03 23:37:31|ACIS-S  |NONE   |   15070|GO  |Satyapal        | 2016-02-04| 14.065 (SWIFTJ1127.5+1906)|
|23782|archived   |QSOJ1131-1231                         |11 31 51.60|-12 31 57.0|2021-07-10 08:00:53|ACIS-S  |NONE   |   32050|GO  |Chartas         | 2022-07-11|  0.032 (SWIFTJ1131.9-1233)|
|23780|archived   |QSOJ1131-1231                         |11 31 51.60|-12 31 57.0|2021-06-11 06:03:46|ACIS-S  |NONE   |   31820|GO  |Chartas         | 2022-06-13|  0.032 (SWIFTJ1131.9-1233)|
|23783|archived   |QSOJ1131-1231                         |11 31 51.60|-12 31 57.0|2021-12-01 14:33:51|ACIS-S  |NONE   |   30890|GO  |Chartas         | 2022-12-02|  0.032 (SWIFTJ1131.9-1233)|
|23781|archived   |QSOJ1131-1231                         |11 31 51.60|-12 31 57.0|2021-06-25 16:42:12|ACIS-S  |NONE   |   30070|GO  |Chartas         | 2022-06-27|  0.032 (SWIFTJ1131.9-1233)|
|11540|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2009-11-28 06:03:54|ACIS-S  |NONE   |   29130|GO  |Kochanek        | 2010-11-30|  0.032 (SWIFTJ1131.9-1233)|
|23784|archived   |QSOJ1131-1231                         |11 31 51.60|-12 31 57.0|2021-12-16 00:17:34|ACIS-S  |NONE   |   28310|GO  |Chartas         | 2022-12-16|  0.032 (SWIFTJ1131.9-1233)|
|23785|archived   |QSOJ1131-1231                         |11 31 51.60|-12 31 57.0|2022-01-02 01:34:25|ACIS-S  |NONE   |   28070|GO  |Chartas         | 2023-01-04|  0.032 (SWIFTJ1131.9-1233)|
|11542|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2010-04-17 11:32:28|ACIS-S  |NONE   |   27180|GO  |Kochanek        | 2011-04-25|  0.032 (SWIFTJ1131.9-1233)|
|11541|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2010-02-09 04:35:29|ACIS-S  |NONE   |   27120|GO  |Kochanek        | 2011-02-11|  0.032 (SWIFTJ1131.9-1233)|
|11544|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2010-11-11 17:35:03|ACIS-S  |NONE   |   27060|GO  |Kochanek        | 2011-11-13|  0.032 (SWIFTJ1131.9-1233)|
|11543|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2010-06-25 06:22:45|ACIS-S  |NONE   |   26060|GO  |Kochanek        | 2011-06-27|  0.032 (SWIFTJ1131.9-1233)|
|11545|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2011-01-21 20:54:50|ACIS-S  |NONE   |   26060|GO  |Kochanek        | 2012-01-23|  0.032 (SWIFTJ1131.9-1233)|
|19617|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2016-11-22 08:13:40|ACIS-S  |NONE   |   25070|GO  |Chartas         | 2017-11-22|  0.032 (SWIFTJ1131.9-1233)|
|19619|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2017-01-03 03:25:09|ACIS-S  |NONE   |   25070|GO  |Chartas         | 2018-01-03|  0.032 (SWIFTJ1131.9-1233)|
|19620|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2017-11-17 09:44:49|ACIS-S  |NONE   |   25070|GO  |Chartas         | 2018-11-21|  0.032 (SWIFTJ1131.9-1233)|
|19622|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2017-12-22 02:12:32|ACIS-S  |NONE   |   25070|GO  |Chartas         | 2018-12-26|  0.032 (SWIFTJ1131.9-1233)|
|19623|archived   |RXJ 1131-1231                         |11 31 51.60|-12 31 57.0|2018-11-09 11:56:02|ACIS-S  |NONE   |   24670|GO  |Chartas         | 2019-11-11|  0.032 (SWIFTJ1131.9-1233)|
|19621|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2017-12-10 11:30:22|ACIS-S  |NONE   |   24070|GO  |Chartas         | 2018-12-12|  0.032 (SWIFTJ1131.9-1233)|
|19618|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2016-12-19 09:31:09|ACIS-S  |NONE   |   23070|GO  |Chartas         | 2017-12-20|  0.032 (SWIFTJ1131.9-1233)|
|13963|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2012-11-07 09:29:21|ACIS-S  |NONE   |   16070|GO  |Dai             | 2013-11-08|  0.032 (SWIFTJ1131.9-1233)|
|19624|archived   |RXJ 1131-1231                         |11 31 51.60|-12 31 57.0|2018-11-26 03:30:00|ACIS-S  |NONE   |   15280|GO  |Chartas         | 2019-11-28|  0.032 (SWIFTJ1131.9-1233)|
| 9181|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2008-04-13 23:13:00|ACIS-S  |NONE   |   15190|GTO |Chartas         | 2009-04-14|  0.032 (SWIFTJ1131.9-1233)|
| 9237|archived   |QSO J1131-1231                        |11 31 51.60|-12 31 57.0|2008-04-23 05:16:17|ACIS-S  |NONE   |   15150|GO  |Kochanek        | 2009-04-24|  0.032 (SWIFTJ1131.9-1233)|
