SwiftName,xtable
SWIFTJ0215.6m1301,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX011900/r26418944/enhanced/SPITZER_S5_26418944_01_merge.tbl
SWIFTJ0216.3p5128,null
SWIFTJ0218.0p7348,null
SWIFTJ0222.6p5222,null
SWIFTJ0222.3p2509,null
SWIFTJ0223.4p4551,null
SWIFTJ0225.0m2312,null
SWIFTJ0225.0p1847,null
SWIFTJ0225.8m6315,null
SWIFTJ0226.4m2821,null
SWIFTJ0227.0p2346,null
SWIFTJ0228.1p3118,null
SWIFTJ0230.2m0900,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX005300/r14447872/enhanced/SPITZER_S5_14447872_01_merge.tbl
SWIFTJ0231.6m3645,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX009500/r26485248/enhanced/SPITZER_S5_26485248_01_merge.tbl
SWIFTJ0232.8p2020,null
SWIFTJ0234.1p3233,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX009500/r26485760/enhanced/SPITZER_S5_26485760_01_merge.tbl
SWIFTJ0234.6m0848,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX004300/r13022720/enhanced/SPITZER_S5_13022720_01_merge.tbl
SWIFTJ0235.3m2934,null
SWIFTJ0238.2m5213,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r26491904/enhanced/SPITZER_S5_26491904_01_merge.tbl
SWIFTJ0238.5m6119,null
SWIFTJ0238.8m4039,null
SWIFTJ0241.3m0816,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX007400/r18258688/enhanced/SPITZER_S5_18258688_01_merge.tbl
SWIFTJ0241.6p0711,null
SWIFTJ0242.0p0516,null
SWIFTJ0242.2p0531,null
SWIFTJ0242.6p0000,null
SWIFTJ0243.9p5324,null
SWIFTJ0244.7m2433,null
SWIFTJ0244.8p6227,null
SWIFTJ0245.2p1047,null
SWIFTJ0249.1p2627,null
SWIFTJ0250.4p4648,null
SWIFTJ0251.3p5441,null
SWIFTJ0250.7p4142,null
SWIFTJ0251.6m1639,null
SWIFTJ0252.1m6758,null
SWIFTJ0252.3p4312,null
SWIFTJ0252.7m0822,null
SWIFTJ0255.2m0011,null
SWIFTJ0256.4m3212,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX009500/r26486784/enhanced/SPITZER_S5_26486784_01_merge.tbl
SWIFTJ0259.9p4419,null
SWIFTJ0300.0m1048,null
SWIFTJ0304.1m0108,null
